Participant,Condition Name,Condition Number,Age,IQ,Estimated Speed (mph),Reaction Time (ms)
1,Contact,1,38,79,35.34309684,366.3496022
2,Contact,1,60,115,33.17929371,103.3719955
3,Contact,1,55,99,45.32379901,117.1909298
4,Contact,1,37,86,42.66942264,121.062926
5,Contact,1,26,96,24.3133367,300.7980271
6,Contact,1,35,100,20.01894596,353.0088051
7,Contact,1,49,117,29.69251209,228.1920257
8,Contact,1,41,114,27.38630052,254.788998
9,Contact,1,53,104,27.50141729,636.4364611
10,Contact,1,56,88,39.48336299,216.9692579
11,Contact,1,43,83,26.58947886,350.7707742
12,Contact,1,24,116,37.73298871,155.0558734
13,Contact,1,26,114,44.10667233,375.6454237
14,Contact,1,40,98,19.70102101,189.3710711
15,Contact,1,-6,88,34.16713871,383.8033486
16,Contact,1,56,111,32.74214146,397.3229414
17,Contact,1,33,84,12.35352496,122.9056265
18,Contact,1,16,104,43.02291512,274.5940545
19,Contact,1,55,74,40.42922401,299.7517867
20,Contact,1,45,75,43.96217596,704.680873
21,Contact,1,56,116,32.21587206,457.4950221
22,Contact,1,46,96,30.94125945,65.00402887
23,Contact,1,27,109,40.38127145,-40.38602324
24,Contact,1,47,113,43.03641572,470.4608584
25,Contact,1,32,94,28.89894027,423.7661786
26,Contact,1,8,107,13.6724218,227.8288695
27,Contact,1,27,104,40.81578049,440.4425999
28,Contact,1,46,126,33.20329793,498.2172534
29,Contact,1,55,105,10.60069866,262.6574017
30,Contact,1,64,73,13.50087629,229.3221992
31,Contact,1,30,97,22.52905542,324.3266591
32,Contact,1,31,131,47.00373339,164.6715056
33,Contact,1,57,109,36.1887235,312.7498587
34,Contact,1,48,123,41.93182911,89.90809868
35,Contact,1,9,115,24.69280017,452.2545268
36,Contact,1,45,89,42.39822957,224.2158936
37,Contact,1,32,120,36.87549012,465.5596608
38,Contact,1,54,92,21.30957813,196.8692126
39,Contact,1,43,90,38.49657114,128.1281623
40,Contact,1,6,103,30.04641032,444.3023178
41,Contact,1,73,99,59.2516697,592.1262634
42,Contact,1,34,101,6.8642499,121.950246
43,Contact,1,25,119,28.31391674,178.832237
44,Contact,1,50,118,45.18504256,226.0306636
45,Contact,1,60,106,30.47527655,287.4615896
46,Contact,1,37,100,36.22841234,273.7538283
47,Contact,1,7,119,24.36607347,146.6744937
48,Contact,1,9,120,31.37765185,552.8220018
49,Contact,1,29,98,27.20508131,223.8530864
50,Contact,1,56,115,38.26964892,451.8122075
51,Contact,1,4,118,34.22894427,70.84593155
52,Contact,1,48,95,27.20345023,230.0605618
53,Contact,1,62,92,31.43482237,323.3923212
54,Contact,1,39,122,25.71448821,275.759478
55,Contact,1,21,95,29.94111686,210.3317723
56,Contact,1,44,104,37.5082975,285.8134759
57,Contact,1,77,97,33.34303216,490.0990956
58,Contact,1,44,90,26.6927592,330.5604117
59,Contact,1,51,99,24.90477684,300.7013159
60,Contact,1,43,90,16.70697193,589.8567908
61,Contact,1,44,106,24.33721811,442.1578635
62,Contact,1,48,106,11.48583579,211.5948054
63,Contact,1,67,91,23.56714948,403.0389043
64,Contact,1,44,103,23.37277691,170.180353
65,Contact,1,41,114,20.85439963,485.4876644
66,Contact,1,32,93,37.842411,135.5818309
67,Contact,1,63,117,34.08536078,52.13223973
68,Contact,1,53,124,34.45929605,219.9106939
69,Contact,1,59,73,23.48180357,174.8390312
70,Contact,1,22,105,23.04696964,340.8469966
71,Contact,1,31,96,36.76933706,371.8114051
72,Contact,1,32,95,36.56511648,424.6210317
73,Contact,1,35,80,35.51809152,235.1980496
74,Contact,1,74,103,17.75137905,415.1292071
75,Contact,1,46,82,17.4560643,243.4219721
76,Contact,1,34,96,48.64827272,358.1985375
77,Contact,1,63,89,24.08512045,288.6118289
78,Contact,1,16,85,43.72428604,286.2993177
79,Contact,1,49,80,47.46891028,331.396848
80,Contact,1,34,105,27.68526976,207.0679679
81,Contact,1,44,119,18.43402462,223.4814392
82,Contact,1,62,104,33.33886045,359.6600972
83,Contact,1,25,102,20.33344109,75.38910052
84,Contact,1,54,104,43.08320993,289.4198916
85,Contact,1,53,74,35.30353685,216.6993708
86,Contact,1,22,80,10.40929238,204.4814477
87,Contact,1,54,97,17.56647703,456.9609573
88,Contact,1,62,99,49.80458533,160.8056946
89,Contact,1,65,83,0.60459318,437.8459513
90,Contact,1,60,121,51.49656573,265.2792134
91,Contact,1,36,104,24.18352132,311.7882856
92,Contact,1,62,93,34.50269872,330.9323801
93,Contact,1,63,77,29.49863626,32.39519968
94,Contact,1,46,86,23.72886763,262.2989341
95,Contact,1,42,115,38.76491248,142.3961151
96,Contact,1,57,96,28.74975432,84.6556368
97,Contact,1,57,122,24.92352504,314.185775
98,Contact,1,37,116,35.55264547,119.9874669
99,Contact,1,59,105,10.73591161,94.37771141
100,Contact,1,6,101,29.00171415,490.2358955
101,Contact,1,26,109,35.94077494,464.9758236
102,Contact,1,25,104,28.40451172,437.9253491
103,Contact,1,32,93,36.02533526,543.8097614
104,Contact,1,30,97,25.86608693,373.62773
105,Contact,1,66,90,31.49819864,438.725949
106,Contact,1,39,93,21.42410782,387.1039417
107,Contact,1,41,103,13.27696872,277.9379085
108,Contact,1,50,103,20.14889989,113.8511679
109,Contact,1,34,85,55.22045785,473.9205725
110,Contact,1,50,86,31.5565922,331.8262842
111,Contact,1,49,97,42.32749618,217.8077573
112,Contact,1,39,99,32.84388709,155.5849701
113,Contact,1,23,86,26.60409153,211.1957259
114,Contact,1,37,88,44.95877672,282.2078826
115,Contact,1,24,84,30.41773107,326.3701001
116,Contact,1,68,118,15.58074727,528.1124116
117,Contact,1,5,100,35.01217817,516.5425675
118,Contact,1,49,90,45.26758346,203.3659608
119,Contact,1,36,83,28.23493457,495.0365411
120,Contact,1,35,93,30.84601869,107.9791028
121,Contact,1,52,111,38.85044599,302.1418862
122,Contact,1,29,105,28.75310799,394.5835833
123,Contact,1,27,99,31.74621234,406.6134387
124,Contact,1,64,99,40.45097824,395.8554884
125,Contact,1,55,131,22.8875014,399.5722949
126,Contact,1,23,119,20.85317012,374.5247464
127,Contact,1,42,95,36.34455365,466.3058764
128,Contact,1,48,105,26.28679042,269.7856958
129,Contact,1,51,141,47.30214504,352.8803386
130,Contact,1,22,64,30.75251737,224.702136
131,Contact,1,49,92,24.35980287,263.9842904
132,Contact,1,57,124,7.13749101,218.3059942
133,Contact,1,48,111,35.85864845,310.2176023
134,Contact,1,34,105,26.23403683,308.3036372
135,Contact,1,43,88,9.64027437,415.2247796
136,Contact,1,51,101,30.65479704,296.5696238
137,Contact,1,58,115,21.06766171,171.3507647
