Facility Id,Hospital Name,Indicator Name,Year,Infections observed,Infections predicted,Denominator,Indicator value,Indicator Lower confidence limit,Indicator Upper confidence limit,Indicator units,Comparison results,Location 1
0000,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2012,1618,,,1,,,,,
0000,New York State - All Hospitals,CDI Hospital Onset,2012,9904,,11948043,8.29,,,"# hospital onset cases per 10,000 patient days, not risk-adjusted",,
0000,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2012,67,,75757,0.88,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Coronary ICU,2012,60,,48540,1.24,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Medical ICU,2012,130,,107618,1.21,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Medical Surgical ICU,2012,155,,162633,0.95,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2012,21,,6009,3.49,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2012,42,,16528,2.54,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2012,72,,58533,1.23,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neurosurgical ICU,2012,27,,19284,1.4,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2012,568,,,1,,,,,
0000,New York State - All Hospitals,CLABSI Pediatric ICU,2012,59,,30593,1.93,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Surgical ICU,2012,90,,79108,1.14,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,SSI CABG chest site,2012,215,,10645,2.02,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI CABG donor site,2012,53,,9591,0.55,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI Colon,2012,744,,16377,4.54,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,CDI Community Onset,2012,7137,,2247222,0.32,,,"# comm. onset (not my hospital) per 100 admissions, not risk-adjusted",,
0000,New York State - All Hospitals,SSI Hip,2012,296,,28395,1.04,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,CDI Hospital Associated,2012,12966,,11948043,10.85,,,"# hospital associated per 10,000 patient days, not risk-adjusted",,
0000,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2011,696,,,1,,,,,
0000,New York State - All Hospitals,CDI Community Onset,2011,6851,,2307993,0.3,,,"# comm. onset (not my hospital) per 100 admissions, not risk-adjusted",,
0000,New York State - All Hospitals,CDI Hospital Associated,2011,13331,,12299914,10.84,,,"# hospital associated per 10,000 patient days, not risk-adjusted",,
0000,New York State - All Hospitals,CDI Hospital Onset,2011,10388,,12299914,8.45,,,"# hospital onset cases per 10,000 patient days, not risk-adjusted",,
0000,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2011,67,,73359,0.91,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Coronary ICU,2011,71,,50236,1.41,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Medical ICU,2011,166,,110910,1.5,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Medical Surgical ICU,2011,226,,175941,1.28,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2011,31,,7091,4.37,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2011,42,,17973,2.34,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2011,111,,61965,1.79,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neurosurgical ICU,2011,26,,19847,1.31,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Pediatric ICU,2011,68,,31630,2.15,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Surgical ICU,2011,114,,81917,1.39,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,SSI CABG chest site,2011,221,,11526,1.92,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI CABG donor site,2011,66,,10365,0.64,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI Colon,2011,804,,16239,4.95,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI Hip,2011,316,,27303,1.16,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2011,1407,,,1,,,,,
0000,New York State - All Hospitals,CLABSI Medical Surgical ICU,2010,258,,185139,1.39,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2010,28,,7423,3.77,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2010,50,,19916,2.51,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2010,110,,65614,1.68,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neurosurgical ICU,2010,39,,18577,2.1,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2010,767,,,1,,,,,
0000,New York State - All Hospitals,CLABSI Pediatric ICU,2010,62,,30001,2.07,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Surgical ICU,2010,121,,80350,1.51,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,SSI CABG chest site,2010,275,,12409,2.22,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI CABG donor site,2010,92,,11429,0.8,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI Colon,2010,803,,16880,4.76,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI Hip,2010,290,,26286,1.1,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2010,1460,,,1,,,,,
0000,New York State - All Hospitals,CDI Community Onset,2010,6135,,2317274,0.26,,,"# comm. onset (not my hospital) per 100 admissions, not risk-adjusted",,
0000,New York State - All Hospitals,CDI Hospital Associated,2010,13253,,12348002,10.73,,,"# hospital associated per 10,000 patient days, not risk-adjusted",,
0000,New York State - All Hospitals,CDI Hospital Onset,2010,10186,,12348002,8.25,,,"# hospital onset cases per 10,000 patient days, not risk-adjusted",,
0000,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2010,74,,74555,0.99,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Coronary ICU,2010,85,,50327,1.69,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Medical ICU,2010,198,,102097,1.94,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2009,134,,66152,2.03,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neurosurgical ICU,2009,40,,18798,2.13,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2009,921,,,1,,,,,
0000,New York State - All Hospitals,CLABSI Pediatric ICU,2009,69,,30738,2.24,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Surgical ICU,2009,165,,77169,2.14,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,SSI CABG chest site,2009,304,,13438,2.26,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,CLABSI Medical Surgical ICU,2009,380,,201772,1.88,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,SSI CABG donor site,2009,109,,12416,0.88,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI Colon,2009,848,,17439,4.86,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI Hip,2009,295,,25847,1.14,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2009,1556,,,1,,,,,
0000,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2009,93,,75195,1.24,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Coronary ICU,2009,94,,50707,1.85,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Medical ICU,2009,228,,98917,2.3,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2009,38,,10122,3.75,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2009,60,,17801,3.37,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,SSI Colon,2008,804,,18135,4.43,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2008,33,,16892,1.95,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2008,174,,60670,2.87,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2008,105,,73679,1.43,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Coronary ICU,2008,110,,50858,2.16,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Pediatric ICU,2008,99,,29698,3.33,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Medical Surgical ICU,2008,470,,222166,2.12,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Medical ICU,2008,237,,87785,2.7,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neurosurgical ICU,2008,40,,17577,2.28,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2008,1058,,,1,,,,,
0000,New York State - All Hospitals,SSI CABG donor site,2008,128,,12905,0.99,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI CABG chest site,2008,301,,13967,2.16,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,CLABSI Surgical ICU,2008,210,,75544,2.78,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2008,50,,10386,4.81,,,# CLABSI per 1000 line days,,
0000,New York State - All Hospitals,SSI Hip,2008,273,,24357,1.12,,,"# SSI per 100 procedures, risk-adjusted",,
0000,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2008,1506,,,1,,,,,
0001,Albany Medical Center Hospital,SSI Hysterectomy,2012,2,3.96,239,0.8,0.1,2.97,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,SSI Overall Standardized Infection Ratio,2012,27,32.73,,0.83,0.54,1.2,,Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,SSI Hip,2012,3,4.12,397,0.8,0.16,2.22,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,SSI Colon,2012,14,16.2,360,3.9,2.15,6.59,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,SSI CABG donor site,2012,1,1.77,282,0.3,0.01,1.73,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,SSI CABG chest site,2012,7,6.67,312,2.1,0.85,4.37,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Surgical ICU,2012,3,6.04,5307,0.6,0.12,1.65,# CLABSI per 1000 line days,Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Pediatric ICU,2012,1,4.19,2173,0.5,0.01,2.56,# CLABSI per 1000 line days,Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Overall Standardized Infection Ratio,2012,12,26.93,,0.45,0.23,0.78,,Significantly lower than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Neurosurgical ICU,2012,0,1.67,1195,0,0,2.51,# CLABSI per 1000 line days,Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Neonatal ICU Regional Perinatal Center,2012,0,4.91,4041,0,0,0.75,# CLABSI per 1000 line days,Significantly lower than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Medical ICU,2012,2,4,3309,0.6,0.07,2.18,# CLABSI per 1000 line days,Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Coronary ICU,2012,2,3.31,2674,0.7,0.09,2.7,# CLABSI per 1000 line days,Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Cardiothoracic ICU,2012,4,2.81,3175,1.3,0.34,3.23,# CLABSI per 1000 line days,Not significantly different than NYS 2012 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CDI Hospital Onset,2012,183,,183307,9.98,8.59,11.54,"# hospital onset cases per 10,000 patient days, not risk-adjusted",Not significantly different than Hospital 2011 rate,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CDI Hospital Associated,2012,237,,183307,12.93,11.34,14.68,"# hospital associated per 10,000 patient days, not risk-adjusted",Not compared,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CDI Community Onset,2012,113,,32315,0.35,0.29,0.42,"# comm. onset (not my hospital) per 100 admissions, not risk-adjusted",Not compared,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Surgical ICU,2011,5,7.56,5429,0.9,0.3,2.15,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CDI Community Onset,2011,81,,31536,0.26,0.2,0.32,"# comm. onset (not my hospital) per 100 admissions, not risk-adjusted",Not compared,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CDI Hospital Associated,2011,185,,173406,10.67,9.19,12.32,"# hospital associated per 10,000 patient days, not risk-adjusted",Not compared,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CDI Hospital Onset,2011,147,,173406,8.48,7.16,9.96,"# hospital onset cases per 10,000 patient days, not risk-adjusted",Not compared due to change in lab test method,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Cardiothoracic ICU,2011,1,3.02,3311,0.3,0.01,1.68,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Coronary ICU,2011,2,3.22,2278,0.9,0.11,3.17,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Medical ICU,2011,4,4.07,2720,1.5,0.4,3.77,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Neonatal ICU Regional Perinatal Center,2011,3,7.92,4440,0.68,0.14,1.98,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Neurosurgical ICU,2011,1,1.59,1211,0.8,0.02,4.6,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Overall Standardized Infection Ratio,2011,18,32.11,,0.56,0.33,0.89,,Significantly lower than NYS 2011 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,CLABSI Pediatric ICU,2011,2,4.73,2202,0.9,0.11,3.28,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,SSI CABG chest site,2011,3,6.8,354,0.8,0.17,2.47,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
0001,Albany Medical Center Hospital,SSI CABG donor site,2011,0,2.09,315,0,0,0.91,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
