County Name,County Code,Region Name,Indicator Number,Indicator,Total Event Counts,Denominator,Denominator Note,Measure Unit,Percentage/Rate,95% CI,Data Comments,Data Years,Data Sources,Quartile,Mapping Distribution,Location
Cayuga,5,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",721,79763,Average annual population,Rate,301.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(42.940095, -76.560755)"
Cortland,11,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",354,48898,Average annual population,Rate,241.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(42.597101, -76.143291)"
Herkimer,21,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",769,63638,Average annual population,Rate,402.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(43.070026, -74.994246)"
Jefferson,22,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",1023,117619,Average annual population,Rate,289.9,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(44.019295, -75.898971)"
Lewis,23,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",238,26772,Average annual population,Rate,296.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(43.785537, -75.446296)"
Madison,25,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",522,72254,Average annual population,Rate,240.8,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(42.986917, -75.720031)"
Oneida,30,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",2644,233403,Average annual population,Rate,377.6,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",350.5 + : Q4,3,"(43.149482, -75.361773)"
Onondaga,31,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",3607,462913,Average annual population,Rate,259.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(43.065629, -76.168033)"
Oswego,35,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",1003,121905,Average annual population,Rate,274.3,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",0 - < 296.3 : Q1 & Q2,1,"(43.39123, -76.31133)"
St. Lawrence,40,Central New York,d1,"Cardiovascular disease mortality rate per 100,000",1019,111116,Average annual population,Rate,305.7,,,2009-2011,"2009-2011 Vital Statistics Data as of February, 2013",296.3 - < 350.5 : Q3,2,"(44.689468, -75.242045)"
