LegLength	ArmLength	ArmCirc
40.8	39.5	34.6
42.5	36	34
43.5	41.4	29
41.1	39.2	30.7
38.2	36.8	40.3
46.8	37.7	29.9
34.4	37.2	42.2
37.1	39.4	33.7
35	36.4	27.2
32.3	32.4	21.8
39	34.7	23.3
39.9	38.3	38.5
30.7	34.3	32
38.9	35.2	40.8
42.4	40	32.3
41.4	41.2	45.7
35.6	36	35.3
41.9	39.6	34
44.6	41	33.3
40.5	37.4	30.7
35.7	31.5	30.4
41.7	39.8	36.1
39	35.2	32.9
38.4	38.1	31.7
30	35.5	33.6
32.4	33.8	25.2
35.5	35	37.4
31.8	37	31.5
43.5	40.5	32.1
43.9	38	34.6
36	35.8	30.5
45.2	39.8	31.2
31.4	36	35.7
36.2	35.3	38.4
29.1	31	19.5
41	40	30.6
39.2	33.7	39.4
39.8	39.8	32.5
32	36.3	31.4
39.2	34.7	31.8
38.4	38	27
34	33.8	31.1
35.5	39.5	34.4
38.5	39	33
46	44	35.3
35	36.3	24.5
38.4	37.3	29.5
38.1	37.3	38.4
33	37.2	35.8
34.5	32.2	28.2
40.3	34.5	24.3
35.3	36.5	29
37.3	38.2	36.8
41	38.7	31
46.4	45.7	28.4
42.7	39	34.4
46	38.9	32.9
33.7	39	35.8
40.5	37.9	26.4
41.3	40.6	38.2
35.7	33.5	23
34.2	36.4	37
43.2	39.8	32.4
43.3	37	33.2
32.3	34	28
36	33.5	24.7
37	38	33.5
34.7	37.3	24.2
40.9	35	32.9
39.2	38	26.2
39.2	37.8	34.2
28.7	37	37.5
39.7	36	26.6
41	38.2	29.4
39	37.6	28.8
41.9	36.6	30.3
38.6	38	31.2
45.1	43	38.6
37.6	41.5	29.3
35.3	31	26.2
37.2	35.1	26.8
36	39.5	33
40.1	NaN	31.1
47	40	33.7
42.5	40	35
46	43	42
38.3	33.5	23
38.9	38	35.9
34.8	39	36.9
39.4	38	28.9
40	38.5	27.1
39.4	38.5	37
43.8	40.9	32.3
35.4	32.4	32.2
38.9	34.7	26.4
43.4	36.8	36
42.8	38.5	36.1
30.7	35.5	34.2
39.4	36.4	33.5
39.4	37	37.7
40.6	38.1	36.4
30.8	30.8	25.9
35	41	41.4
37.9	36.5	24.3
37.8	39.8	42.2
38.6	36.2	24.2
40.4	39.2	33.9
42	33.7	22.5
44.1	39.2	35.4
42.3	38.3	32.3
39.7	40.5	45.7
37	36.4	25.6
42.2	41	31.3
44.7	38.8	33.2
36.2	39	30.3
40.4	38.5	34.2
41.9	36.8	34
33.1	33.5	41.8
43	38.7	39.8
37.1	34.5	27.6
43.5	42	35.5
44.5	39.5	40
32.5	33.5	27.9
40.2	41.2	31.3
36.5	34.5	29.3
31.2	33.2	30.5
32.8	35.6	31.3
34.5	34	28.9
38.5	39	34.6
39.7	38	27.6
45.4	43.1	31.3
37	38.5	33.7
35.1	37.2	28.3
37.1	33.2	32.4
40.4	39.3	36.3
36.5	36.4	20.1
40	39.4	36.1
44	39.9	37
31.7	33.1	33.4
39.3	38.4	32
39.8	37.3	27.6
34.6	35.8	27.8
39.8	39.5	32.4
40	40	39.9
39.4	41.6	38.5
36.6	36.6	31.2
38.2	37	38
38.9	35.5	29.1
34.3	33.5	26.1
28.7	31.5	32.4
39.2	36.6	25.9
38.6	37.2	39.1
30	35.5	33.2
42.2	39	28
39.5	37.5	31
38.8	36.6	30.6
46.8	44.2	39.2
41.8	38.5	25.3
39.8	36.8	31.7
35	36	33.3
40	37.6	29.4
36.2	40	34.7
38.8	36.1	24.8
36.7	34.2	33.6
41	40.2	38
39.7	37.4	41.2
38.2	36.4	28.8
39.2	37.4	32.2
39.1	39	27
36.1	37	21.8
33.5	31.1	23
38.3	36.2	32.6
32.3	38.5	39.6
40.9	37	30.4
35.4	35.7	28.3
NaN	38	40
36	38	29.3
41.5	38.6	26.7
38.5	37	37.3
41	37.9	26.3
40.6	40	34.8
41.8	39	37
41.6	38.4	28.6
40.2	40	29.6
44	41.6	34.8
35.6	38	28.2
25.6	33.4	31.7
36.2	33.6	27.7
35	32	33
39.7	35.7	26.2
37	36.5	29.5
35.2	34	30.8
38.7	36.7	33.5
41.5	39.3	28.6
40.2	37.2	32
41.8	39.8	34.8
39	39	30.1
