Date	Marriages
01/01/2007	326
02/01/2007	99
03/01/2007	91
04/01/2007	120
05/01/2007	318
06/01/2007	1326
07/01/2007	328
08/01/2007	91
09/01/2007	51
10/01/2007	74
11/01/2007	72
12/01/2007	240
13/01/2007	1023
14/01/2007	276
15/01/2007	75
16/01/2007	66
17/01/2007	56
18/01/2007	49
19/01/2007	209
20/01/2007	1389
21/01/2007	275
22/01/2007	58
23/01/2007	48
24/01/2007	69
25/01/2007	183
26/01/2007	372
27/01/2007	1338
28/01/2007	251
29/01/2007	36
30/01/2007	37
31/01/2007	42
01/02/2007	56
02/02/2007	212
03/02/2007	1380
04/02/2007	225
05/02/2007	61
06/02/2007	60
07/02/2007	58
08/02/2007	47
09/02/2007	233
10/02/2007	1478
11/02/2007	331
12/02/2007	64
13/02/2007	49
14/02/2007	311
15/02/2007	62
16/02/2007	249
17/02/2007	1564
18/02/2007	299
19/02/2007	66
20/02/2007	55
21/02/2007	50
22/02/2007	73
23/02/2007	290
24/02/2007	1820
25/02/2007	318
26/02/2007	85
27/02/2007	46
28/02/2007	53
01/03/2007	88
02/03/2007	315
03/03/2007	2009
04/03/2007	423
05/03/2007	57
06/03/2007	57
07/03/2007	72
08/03/2007	103
09/03/2007	319
10/03/2007	2089
11/03/2007	558
12/03/2007	67
13/03/2007	50
14/03/2007	68
15/03/2007	80
16/03/2007	316
17/03/2007	2076
18/03/2007	395
19/03/2007	60
20/03/2007	62
21/03/2007	72
22/03/2007	81
23/03/2007	343
24/03/2007	2134
25/03/2007	372
26/03/2007	74
27/03/2007	61
28/03/2007	60
29/03/2007	71
30/03/2007	354
31/03/2007	2185
01/04/2007	302
02/04/2007	65
03/04/2007	55
04/04/2007	91
05/04/2007	187
06/04/2007	83
07/04/2007	1265
08/04/2007	376
09/04/2007	99
10/04/2007	78
11/04/2007	70
12/04/2007	106
13/04/2007	207
14/04/2007	2177
15/04/2007	458
16/04/2007	77
17/04/2007	50
18/04/2007	72
19/04/2007	60
20/04/2007	311
21/04/2007	1815
22/04/2007	369
23/04/2007	76
24/04/2007	94
25/04/2007	58
26/04/2007	69
27/04/2007	247
28/04/2007	1673
29/04/2007	294
30/04/2007	56
01/05/2007	69
02/05/2007	48
03/05/2007	71
04/05/2007	214
05/05/2007	1471
06/05/2007	380
07/05/2007	69
08/05/2007	41
09/05/2007	36
10/05/2007	23
11/05/2007	170
12/05/2007	1145
13/05/2007	136
14/05/2007	57
15/05/2007	38
16/05/2007	61
17/05/2007	44
18/05/2007	164
19/05/2007	995
20/05/2007	238
21/05/2007	70
22/05/2007	36
23/05/2007	38
24/05/2007	55
25/05/2007	152
26/05/2007	940
27/05/2007	189
28/05/2007	56
29/05/2007	31
30/05/2007	19
31/05/2007	50
01/06/2007	161
02/06/2007	779
03/06/2007	166
04/06/2007	43
05/06/2007	52
06/06/2007	50
07/06/2007	38
08/06/2007	148
09/06/2007	813
10/06/2007	349
11/06/2007	40
12/06/2007	67
13/06/2007	38
14/06/2007	29
15/06/2007	113
16/06/2007	657
17/06/2007	143
18/06/2007	57
19/06/2007	50
20/06/2007	49
21/06/2007	61
22/06/2007	105
23/06/2007	632
24/06/2007	160
25/06/2007	44
26/06/2007	62
27/06/2007	29
28/06/2007	46
29/06/2007	138
30/06/2007	797
01/07/2007	210
02/07/2007	69
03/07/2007	57
04/07/2007	48
05/07/2007	49
06/07/2007	170
07/07/2007	1689
08/07/2007	168
09/07/2007	67
10/07/2007	43
11/07/2007	42
12/07/2007	50
13/07/2007	89
14/07/2007	742
15/07/2007	164
16/07/2007	50
17/07/2007	37
18/07/2007	48
19/07/2007	55
20/07/2007	159
21/07/2007	573
22/07/2007	151
23/07/2007	63
24/07/2007	44
25/07/2007	44
26/07/2007	46
27/07/2007	156
28/07/2007	658
29/07/2007	157
30/07/2007	61
31/07/2007	42
01/08/2007	52
02/08/2007	31
03/08/2007	116
04/08/2007	694
05/08/2007	158
06/08/2007	54
07/08/2007	49
08/08/2007	86
09/08/2007	49
10/08/2007	147
11/08/2007	768
12/08/2007	168
13/08/2007	43
14/08/2007	55
15/08/2007	50
16/08/2007	69
17/08/2007	141
18/08/2007	912
19/08/2007	194
