year,temperature,rainfall,mosquitos
1960,76,191,93
1961,73,249,109
1962,81,112,73
1963,78,113,72
1964,81,159,89
1965,87,222,109
1966,72,103,68
1967,77,176,92
1968,89,236,114
1969,88,283,128
1970,89,151,89
1971,71,121,72
1972,88,267,124
1973,85,211,102
1974,75,101,67
1975,72,173,85
1976,74,254,117
1977,85,155,90
1978,89,158,92
1979,86,117,75
1980,74,138,75
1981,80,153,87
1982,72,229,105
1983,80,145,82
1984,73,203,96
1985,74,239,110
1986,72,276,118
1987,83,261,117
1988,89,280,127
1989,81,271,121
1990,77,188,94
1991,80,218,105
1992,90,257,120
1993,83,211,105
1994,77,224,108
1995,90,215,110
1996,86,247,115
1997,71,298,125
1998,90,127,81
1999,77,123,78
2000,76,240,109
2001,76,112,72
2002,83,212,103
2003,80,197,103
2004,75,119,75
2005,89,260,122
2006,78,112,71
2007,75,212,103
2008,87,186,98
2009,79,153,84
2010,84,199,101
