year,temperature,rainfall,mosquitos
1960,84,129,151
1961,76,135,149
1962,82,194,194
1963,87,181,190
1964,78,152,164
1965,84,174,186
1966,78,218,209
1967,86,193,193
1968,76,138,154
1969,89,147,167
1970,85,227,216
1971,81,197,197
1972,74,272,244
1973,89,100,136
1974,84,294,268
1975,82,134,156
1976,77,116,139
1977,84,157,175
1978,85,128,154
1979,79,119,143
1980,71,188,188
1981,82,121,141
1982,78,234,223
1983,90,281,263
1984,76,151,159
1985,78,152,164
1986,72,262,236
1987,77,258,240
1988,80,263,244
1989,85,191,194
1990,84,166,177
1991,79,205,200
1992,78,154,167
1993,84,278,253
1994,71,224,207
1995,71,281,246
1996,76,187,188
1997,81,123,143
1998,73,260,235
1999,70,278,244
2000,80,262,243
2001,71,155,162
2002,77,241,227
2003,75,132,145
2004,78,184,183
2005,87,266,247
2006,79,201,199
2007,85,227,220
2008,74,206,200
2009,77,260,240
2010,89,242,236
