year,temperature,rainfall,mosquitos
1960,76,121,125
1961,80,137,135
1962,85,251,216
1963,86,291,244
1964,87,258,226
1965,74,137,130
1966,75,202,180
1967,80,116,118
1968,85,205,187
1969,74,127,126
1970,74,140,134
1971,81,122,128
1972,76,227,199
1973,85,290,247
1974,75,205,186
1975,76,167,157
1976,89,202,189
1977,88,298,254
1978,81,227,200
1979,80,173,160
1980,83,295,248
1981,81,256,219
1982,90,108,119
1983,73,297,244
1984,90,170,160
1985,82,156,153
1986,84,163,156
1987,76,228,194
1988,82,197,177
1989,85,154,150
1990,83,289,243
1991,88,182,172
1992,88,154,151
1993,83,273,234
1994,76,192,173
1995,84,240,209
1996,76,191,170
1997,73,249,210
1998,81,112,120
1999,78,113,118
2000,81,159,148
2001,87,222,198
2002,72,103,105
2003,77,176,166
2004,89,236,210
2005,88,283,242
2006,89,151,147
2007,71,121,117
2008,88,267,232
2009,85,211,191
2010,75,101,106
