Species,Mass_ln_g,First_appearance_mya,Last_appearance_mya,Family,Order_or_higher,Limb_morphology
Barylambda churchilli,12.718,57.1,57,Barylambdidae,Cimolesta,Plantigrade
Barylambda faberi,13.118,57.4,55,Barylambdidae,Cimolesta,Plantigrade
Barylambda jackwilsoni,11.87,59.7,54.5,Barylambdidae,Cimolesta,Plantigrade
Coryphodon armatus,13.07,53.9,50,Coryphodontidae,Cimolesta,Graviportal
Coryphodon eocaenus,12.881,55.4,55.1,Coryphodontidae,Cimolesta,Graviportal
Coryphodon lobatus,13.731,53.8,51.2,Coryphodontidae,Cimolesta,Graviportal
Coryphodon proterus,13.609,55.7,55.6,Coryphodontidae,Cimolesta,Graviportal
Coryphodon radians,13.385,53.9,51.2,Coryphodontidae,Cimolesta,Graviportal
Caenolambda jepseni,11.79,59.3,57.8,Pantolambdidae,Cimolesta,Plantigrade
Caenolambda jepseni,1.461,68.3,66.4,Pantolambdidae,Cimolesta,Plantigrade
Pantolambda cavirictum,11.618,63,61.4,Pantolambdidae,Cimolesta,Plantigrade
Pantolambda intermedium,10.938,62.8,62,Pantolambdidae,Cimolesta,Plantigrade
Titanoides gidleyi,12.38,59.7,57.8,Titanoideidae,Cimolesta,Plantigrade
Titanoides looki,12.063,57.3,57.2,Titanoideidae,Cimolesta,Plantigrade
Titanoides nanus,11.69,55.8,55.8,Titanoideidae,Cimolesta,Plantigrade
Titanoides primaevus,12.846,58.4,57.1,Titanoideidae,Cimolesta,Plantigrade
Anacodon nexus,9.676,56.4,55.8,Arctocyonidae,Condylarthra,Plantigrade
Arctocyon montanensis,9.606,62.2,59.9,Arctocyonidae,Condylarthra,Plantigrade
Baioconodon denverensis,8.344,64.8,64.1,Arctocyonidae,Condylarthra,Plantigrade
Baioconodon engdahli,6.91,65.2,65.1,Arctocyonidae,Condylarthra,Plantigrade
Baioconodon nordicus,7.428,65.2,64.4,Arctocyonidae,Condylarthra,Plantigrade
Chriacus badgleyi,7.093,55.4,55.4,Arctocyonidae,Condylarthra,Plantigrade
Chriacus baldwini,7.354,63.3,58.7,Arctocyonidae,Condylarthra,Plantigrade
Chriacus gallinae,7.295,55.1,52.9,Arctocyonidae,Condylarthra,Plantigrade
Chriacus orthogonius,7.045,62.1,60.6,Arctocyonidae,Condylarthra,Plantigrade
Chriacus pelvidens,8.531,63,58,Arctocyonidae,Condylarthra,Plantigrade
Chriacus punitor,7.017,62,61.9,Arctocyonidae,Condylarthra,Plantigrade
Colpoclaenus procyonoides,8.843,63,59.4,Arctocyonidae,Condylarthra,Plantigrade
Desmatoclaenus dianae,7.987,64.3,64.3,Arctocyonidae,Condylarthra,Plantigrade
Desmatoclaenus hermaeus,9.218,63.9,63.2,Arctocyonidae,Condylarthra,Plantigrade
Lambertocyon eximius,8.46,59.1,57.2,Arctocyonidae,Condylarthra,Plantigrade
Lambertocyon ischyrus,7.606,57.4,57.1,Arctocyonidae,Condylarthra,Plantigrade
Loxolophus criswelli,7.667,62.4,62.3,Arctocyonidae,Condylarthra,Plantigrade
