quad,year,species,cover
Q1,32,Artemisia tripartita,0.05517264
Q1,32,Poa secunda,0.011875679
Q1,32,Pseudoroegneria spicata,0.006331223
Q1,33,Artemisia tripartita,0.073652612
Q1,33,Hesperostipa comata,0.002134058
Q1,33,Poa secunda,0.004585507
Q1,33,Pseudoroegneria spicata,0.008647838
Q1,34,Artemisia tripartita,0.046833722
Q1,34,Hesperostipa comata,0.001076307
Q1,34,Poa secunda,0.00320973
Q1,34,Pseudoroegneria spicata,0.003476177
Q1,35,Artemisia tripartita,0.1135385
Q1,35,Hesperostipa comata,0.00142013
Q1,35,Poa secunda,0.006470752
Q1,35,Pseudoroegneria spicata,0.006923452
Q1,36,Artemisia tripartita,0.082630001
Q1,36,Hesperostipa comata,0.002718527
Q1,36,Poa secunda,0.006654694
Q1,36,Pseudoroegneria spicata,0.007789879
Q1,37,Artemisia tripartita,0.124986456
Q1,37,Hesperostipa comata,0.002487632
Q1,37,Poa secunda,0.008179372
Q1,37,Pseudoroegneria spicata,0.00543136
Q1,38,Artemisia tripartita,0.171009142
Q1,38,Hesperostipa comata,0.002970865
Q1,38,Poa secunda,0.006389916
Q1,38,Pseudoroegneria spicata,0.005941137
Q1,39,Artemisia tripartita,0.148407503
Q1,39,Hesperostipa comata,0.00427134
Q1,39,Poa secunda,0.008359481
Q1,39,Pseudoroegneria spicata,0.00549782
Q1,40,Artemisia tripartita,0.164771726
Q1,40,Hesperostipa comata,0.00413694
Q1,40,Poa secunda,0.010649498
Q1,40,Pseudoroegneria spicata,0.006286331
Q1,41,Artemisia tripartita,0.179711542
Q1,41,Hesperostipa comata,0.003797903
Q1,41,Poa secunda,0.005673297
Q1,41,Pseudoroegneria spicata,0.005300801
Q1,42,Artemisia tripartita,0.158301133
Q1,42,Hesperostipa comata,0.004031755
Q1,42,Poa secunda,0.005044717
Q1,42,Pseudoroegneria spicata,0.00309922
Q1,45,Artemisia tripartita,0.197933936
Q1,45,Hesperostipa comata,0.01138538
Q1,45,Poa secunda,0.009044336
Q1,45,Pseudoroegneria spicata,0.003524495
Q1,46,Artemisia tripartita,0.123598158
Q1,46,Hesperostipa comata,0.019669613
Q1,46,Poa secunda,0.011313535
Q1,46,Pseudoroegneria spicata,0.003123245
Q1,47,Artemisia tripartita,0.084998924
Q1,47,Hesperostipa comata,0.022264659
Q1,47,Poa secunda,0.011710463
Q1,47,Pseudoroegneria spicata,0.004693721
Q1,49,Artemisia tripartita,0.09452657
Q1,49,Hesperostipa comata,0.025520265
Q1,49,Poa secunda,0.005639307
Q1,49,Pseudoroegneria spicata,0.003734054
Q1,50,Artemisia tripartita,0.066763198
Q1,50,Hesperostipa comata,0.031650058
Q1,50,Poa secunda,0.008156588
Q1,50,Pseudoroegneria spicata,0.00532531
Q1,51,Artemisia tripartita,0.033653048
Q1,51,Hesperostipa comata,0.029539008
Q1,51,Poa secunda,0.008388591
Q1,51,Pseudoroegneria spicata,0.003512316
Q1,52,Artemisia tripartita,0.063370148
Q1,52,Hesperostipa comata,0.039620161
Q1,52,Poa secunda,0.015700306
Q1,52,Pseudoroegneria spicata,0.007977419
Q1,54,Artemisia tripartita,0.043585497
Q1,54,Hesperostipa comata,0.032157497
Q1,54,Poa secunda,0.003161727
Q1,54,Pseudoroegneria spicata,0.010398855
Q1,55,Artemisia tripartita,0.053234346
Q1,55,Hesperostipa comata,0.027996778
Q1,55,Poa secunda,0.002660867
Q1,55,Pseudoroegneria spicata,0.007567103
Q1,56,Artemisia tripartita,0.066103513
Q1,56,Hesperostipa comata,0.04354085
Q1,56,Poa secunda,0.000774922
Q1,56,Pseudoroegneria spicata,0.011576687
Q1,23,Poa secunda,0
Q1,23,Artemisia tripartita,0
Q1,23,Hesperostipa comata,0
Q1,23,Pseudoroegneria spicata,0
Q1,26,Poa secunda,0
Q1,26,Artemisia tripartita,0
Q1,26,Hesperostipa comata,0
Q1,26,Pseudoroegneria spicata,0
Q1,27,Poa secunda,0
Q1,27,Artemisia tripartita,0
Q1,27,Hesperostipa comata,0
Q1,27,Pseudoroegneria spicata,0
Q1,29,Poa secunda,0
Q1,29,Artemisia tripartita,0
Q1,29,Hesperostipa comata,0
Q1,29,Pseudoroegneria spicata,0
Q1,30,Poa secunda,0
Q1,30,Artemisia tripartita,0
Q1,30,Hesperostipa comata,0
Q1,30,Pseudoroegneria spicata,0
Q1,31,Poa secunda,0
Q1,31,Artemisia tripartita,0
Q1,31,Hesperostipa comata,0
Q1,31,Pseudoroegneria spicata,0
Q1,32,Artemisia tripartita,0.05517264
Q1,32,Poa secunda,0.011875679
Q1,32,Pseudoroegneria spicata,0.006331223
Q1,32,Hesperostipa comata,0
Q1,33,Artemisia tripartita,0.073652612
Q1,33,Hesperostipa comata,0.002134058
Q1,33,Poa secunda,0.004585507
Q1,33,Pseudoroegneria spicata,0.008647838
Q1,34,Artemisia tripartita,0.046833722
Q1,34,Hesperostipa comata,0.001076307
Q1,34,Poa secunda,0.00320973
Q1,34,Pseudoroegneria spicata,0.003476177
Q1,35,Artemisia tripartita,0.1135385
Q1,35,Hesperostipa comata,0.00142013
Q1,35,Poa secunda,0.006470752
Q1,35,Pseudoroegneria spicata,0.006923452
Q1,36,Artemisia tripartita,0.082630001
Q1,36,Hesperostipa comata,0.002718527
Q1,36,Poa secunda,0.006654694
Q1,36,Pseudoroegneria spicata,0.007789879
Q1,37,Artemisia tripartita,0.124986456
Q1,37,Hesperostipa comata,0.002487632
Q1,37,Poa secunda,0.008179372
Q1,37,Pseudoroegneria spicata,0.00543136
Q1,38,Artemisia tripartita,0.171009142
Q1,38,Hesperostipa comata,0.002970865
Q1,38,Poa secunda,0.006389916
Q1,38,Pseudoroegneria spicata,0.005941137
Q1,39,Artemisia tripartita,0.148407503
Q1,39,Hesperostipa comata,0.00427134
Q1,39,Poa secunda,0.008359481
Q1,39,Pseudoroegneria spicata,0.00549782
Q1,40,Artemisia tripartita,0.164771726
Q1,40,Hesperostipa comata,0.00413694
Q1,40,Poa secunda,0.010649498
Q1,40,Pseudoroegneria spicata,0.006286331
Q1,41,Artemisia tripartita,0.179711542
Q1,41,Hesperostipa comata,0.003797903
Q1,41,Poa secunda,0.005673297
Q1,41,Pseudoroegneria spicata,0.005300801
Q1,42,Artemisia tripartita,0.158301133
Q1,42,Hesperostipa comata,0.004031755
Q1,42,Poa secunda,0.005044717
Q1,42,Pseudoroegneria spicata,0.00309922
Q1,45,Artemisia tripartita,0.197933936
Q1,45,Hesperostipa comata,0.01138538
Q1,45,Poa secunda,0.009044336
Q1,45,Pseudoroegneria spicata,0.003524495
Q1,46,Artemisia tripartita,0.123598158
Q1,46,Hesperostipa comata,0.019669613
Q1,46,Poa secunda,0.011313535
Q1,46,Pseudoroegneria spicata,0.003123245
Q1,47,Artemisia tripartita,0.084998924
Q1,47,Hesperostipa comata,0.022264659
Q1,47,Poa secunda,0.011710463
Q1,47,Pseudoroegneria spicata,0.004693721
Q1,49,Artemisia tripartita,0.09452657
Q1,49,Hesperostipa comata,0.025520265
Q1,49,Poa secunda,0.005639307
Q1,49,Pseudoroegneria spicata,0.003734054
Q1,50,Artemisia tripartita,0.066763198
Q1,50,Hesperostipa comata,0.031650058
Q1,50,Poa secunda,0.008156588
Q1,50,Pseudoroegneria spicata,0.00532531
Q1,51,Artemisia tripartita,0.033653048
Q1,51,Hesperostipa comata,0.029539008
Q1,51,Poa secunda,0.008388591
Q1,51,Pseudoroegneria spicata,0.003512316
Q1,52,Artemisia tripartita,0.063370148
Q1,52,Hesperostipa comata,0.039620161
Q1,52,Poa secunda,0.015700306
Q1,52,Pseudoroegneria spicata,0.007977419
Q1,54,Artemisia tripartita,0.043585497
Q1,54,Hesperostipa comata,0.032157497
Q1,54,Poa secunda,0.003161727
Q1,54,Pseudoroegneria spicata,0.010398855
Q1,55,Artemisia tripartita,0.053234346
Q1,55,Hesperostipa comata,0.027996778
Q1,55,Poa secunda,0.002660867
Q1,55,Pseudoroegneria spicata,0.007567103
Q1,56,Artemisia tripartita,0.066103513
Q1,56,Hesperostipa comata,0.04354085
Q1,56,Poa secunda,0.000774922
Q1,56,Pseudoroegneria spicata,0.011576687
Q1,57,Poa secunda,0
Q1,57,Artemisia tripartita,0
Q1,57,Hesperostipa comata,0
Q1,57,Pseudoroegneria spicata,0
Q10,30,Artemisia tripartita,0.008631222
Q10,30,Hesperostipa comata,0.028226682
Q10,30,Poa secunda,0.005827333
Q10,30,Pseudoroegneria spicata,0.011297732
Q10,31,Artemisia tripartita,0.019358216
Q10,31,Hesperostipa comata,0.021637123
Q10,31,Poa secunda,0.006858418
Q10,31,Pseudoroegneria spicata,0.009441863
Q10,32,Artemisia tripartita,0.02086057
Q10,32,Hesperostipa comata,0.026954019
Q10,32,Poa secunda,0.006636046
Q10,32,Pseudoroegneria spicata,0.016651162
Q10,33,Artemisia tripartita,0.0295137
Q10,33,Hesperostipa comata,0.019245078
Q10,33,Poa secunda,0.007266766
Q10,33,Pseudoroegneria spicata,0.013829562
Q10,34,Artemisia tripartita,0.016610905
Q10,34,Hesperostipa comata,0.006341983
Q10,34,Poa secunda,0.002158703
Q10,34,Pseudoroegneria spicata,0.003863831
Q10,35,Artemisia tripartita,0.026061666
Q10,35,Hesperostipa comata,0.009986255
Q10,35,Poa secunda,0.009539033
Q10,35,Pseudoroegneria spicata,0.007811864
Q10,36,Artemisia tripartita,0.033169903
Q10,36,Hesperostipa comata,0.005765596
Q10,36,Poa secunda,0.009305692
Q10,36,Pseudoroegneria spicata,0.010534058
Q10,37,Artemisia tripartita,0.039910309
Q10,37,Hesperostipa comata,0.006956186
Q10,37,Poa secunda,0.008831196
Q10,37,Pseudoroegneria spicata,0.013726305
Q10,38,Artemisia tripartita,0.045524323
Q10,38,Hesperostipa comata,0.009069808
Q10,38,Poa secunda,0.011443967
Q10,38,Pseudoroegneria spicata,0.009696729
Q10,39,Artemisia tripartita,0.041333517
Q10,39,Hesperostipa comata,0.008844768
Q10,39,Poa secunda,0.010814413
Q10,39,Pseudoroegneria spicata,0.014013099
Q10,40,Artemisia tripartita,0.046733772
Q10,40,Hesperostipa comata,0.008101391
Q10,40,Poa secunda,0.007923127
Q10,40,Pseudoroegneria spicata,0.007890688
Q10,41,Artemisia tripartita,0.058060829
Q10,41,Hesperostipa comata,0.006189424
Q10,41,Poa secunda,0.007145314
Q10,41,Pseudoroegneria spicata,0.005585308
Q10,42,Artemisia tripartita,0.03711155
Q10,42,Hesperostipa comata,0.005971385
Q10,42,Poa secunda,0.005505524
Q10,42,Pseudoroegneria spicata,0.003027936
Q10,45,Artemisia tripartita,0.148202524
Q10,45,Hesperostipa comata,0.019490397
Q10,45,Poa secunda,0.018120103
Q10,45,Pseudoroegneria spicata,0.003759714
Q10,46,Hesperostipa comata,0.021460545
Q10,46,Poa secunda,0.025286708
Q10,46,Pseudoroegneria spicata,0.003726065
Q10,47,Hesperostipa comata,0.025585393
Q10,47,Poa secunda,0.038101677
Q10,47,Pseudoroegneria spicata,0.008757901
Q10,49,Hesperostipa comata,0.022900048
Q10,49,Poa secunda,0.010117955
Q10,49,Pseudoroegneria spicata,0.005973788
Q10,50,Hesperostipa comata,0.029542126
Q10,50,Poa secunda,0.013703907
Q10,50,Pseudoroegneria spicata,0.006777173
Q10,51,Hesperostipa comata,0.027148369
Q10,51,Poa secunda,0.010339043
Q10,51,Pseudoroegneria spicata,0.006847575
Q10,52,Hesperostipa comata,0.043735316
Q10,52,Poa secunda,0.005993946
Q10,52,Pseudoroegneria spicata,0.008862324
Q10,54,Hesperostipa comata,0.027356393
Q10,54,Poa secunda,0.003382048
Q10,54,Pseudoroegneria spicata,0.00974645
Q10,55,Hesperostipa comata,0.020009033
Q10,55,Poa secunda,0.005311535
Q10,55,Pseudoroegneria spicata,0.014463276
Q10,56,Hesperostipa comata,0.021304571
Q10,56,Poa secunda,0.003437992
Q10,56,Pseudoroegneria spicata,0.017998591
Q10,57,Hesperostipa comata,0.016172552
Q10,57,Poa secunda,0.002707471
Q10,57,Pseudoroegneria spicata,0.010335491
Q10,23,Poa secunda,0
Q10,23,Artemisia tripartita,0
Q10,23,Hesperostipa comata,0
Q10,23,Pseudoroegneria spicata,0
Q10,26,Poa secunda,0
Q10,26,Artemisia tripartita,0
Q10,26,Hesperostipa comata,0
Q10,26,Pseudoroegneria spicata,0
Q10,27,Poa secunda,0
Q10,27,Artemisia tripartita,0
Q10,27,Hesperostipa comata,0
Q10,27,Pseudoroegneria spicata,0
Q10,29,Poa secunda,0
Q10,29,Artemisia tripartita,0
Q10,29,Hesperostipa comata,0
Q10,29,Pseudoroegneria spicata,0
Q10,30,Artemisia tripartita,0.008631222
Q10,30,Hesperostipa comata,0.028226682
Q10,30,Poa secunda,0.005827333
Q10,30,Pseudoroegneria spicata,0.011297732
Q10,31,Artemisia tripartita,0.019358216
Q10,31,Hesperostipa comata,0.021637123
Q10,31,Poa secunda,0.006858418
Q10,31,Pseudoroegneria spicata,0.009441863
Q10,32,Artemisia tripartita,0.02086057
Q10,32,Hesperostipa comata,0.026954019
Q10,32,Poa secunda,0.006636046
Q10,32,Pseudoroegneria spicata,0.016651162
Q10,33,Artemisia tripartita,0.0295137
Q10,33,Hesperostipa comata,0.019245078
Q10,33,Poa secunda,0.007266766
Q10,33,Pseudoroegneria spicata,0.013829562
Q10,34,Artemisia tripartita,0.016610905
Q10,34,Hesperostipa comata,0.006341983
Q10,34,Poa secunda,0.002158703
Q10,34,Pseudoroegneria spicata,0.003863831
Q10,35,Artemisia tripartita,0.026061666
Q10,35,Hesperostipa comata,0.009986255
Q10,35,Poa secunda,0.009539033
Q10,35,Pseudoroegneria spicata,0.007811864
Q10,36,Artemisia tripartita,0.033169903
Q10,36,Hesperostipa comata,0.005765596
Q10,36,Poa secunda,0.009305692
Q10,36,Pseudoroegneria spicata,0.010534058
Q10,37,Artemisia tripartita,0.039910309
Q10,37,Hesperostipa comata,0.006956186
Q10,37,Poa secunda,0.008831196
Q10,37,Pseudoroegneria spicata,0.013726305
Q10,38,Artemisia tripartita,0.045524323
Q10,38,Hesperostipa comata,0.009069808
Q10,38,Poa secunda,0.011443967
Q10,38,Pseudoroegneria spicata,0.009696729
Q10,39,Artemisia tripartita,0.041333517
Q10,39,Hesperostipa comata,0.008844768
Q10,39,Poa secunda,0.010814413
Q10,39,Pseudoroegneria spicata,0.014013099
Q10,40,Artemisia tripartita,0.046733772
Q10,40,Hesperostipa comata,0.008101391
Q10,40,Poa secunda,0.007923127
Q10,40,Pseudoroegneria spicata,0.007890688
Q10,41,Artemisia tripartita,0.058060829
Q10,41,Hesperostipa comata,0.006189424
Q10,41,Poa secunda,0.007145314
Q10,41,Pseudoroegneria spicata,0.005585308
Q10,42,Artemisia tripartita,0.03711155
Q10,42,Hesperostipa comata,0.005971385
Q10,42,Poa secunda,0.005505524
Q10,42,Pseudoroegneria spicata,0.003027936
Q10,45,Artemisia tripartita,0.148202524
Q10,45,Hesperostipa comata,0.019490397
Q10,45,Poa secunda,0.018120103
Q10,45,Pseudoroegneria spicata,0.003759714
Q10,46,Hesperostipa comata,0.021460545
Q10,46,Poa secunda,0.025286708
Q10,46,Pseudoroegneria spicata,0.003726065
Q10,46,Artemisia tripartita,0
Q10,47,Hesperostipa comata,0.025585393
Q10,47,Poa secunda,0.038101677
Q10,47,Pseudoroegneria spicata,0.008757901
Q10,47,Artemisia tripartita,0
Q10,49,Hesperostipa comata,0.022900048
Q10,49,Poa secunda,0.010117955
Q10,49,Pseudoroegneria spicata,0.005973788
Q10,49,Artemisia tripartita,0
Q10,50,Hesperostipa comata,0.029542126
Q10,50,Poa secunda,0.013703907
Q10,50,Pseudoroegneria spicata,0.006777173
Q10,50,Artemisia tripartita,0
Q10,51,Hesperostipa comata,0.027148369
Q10,51,Poa secunda,0.010339043
Q10,51,Pseudoroegneria spicata,0.006847575
Q10,51,Artemisia tripartita,0
Q10,52,Hesperostipa comata,0.043735316
Q10,52,Poa secunda,0.005993946
Q10,52,Pseudoroegneria spicata,0.008862324
Q10,52,Artemisia tripartita,0
Q10,54,Hesperostipa comata,0.027356393
Q10,54,Poa secunda,0.003382048
Q10,54,Pseudoroegneria spicata,0.00974645
Q10,54,Artemisia tripartita,0
Q10,55,Hesperostipa comata,0.020009033
Q10,55,Poa secunda,0.005311535
Q10,55,Pseudoroegneria spicata,0.014463276
Q10,55,Artemisia tripartita,0
Q10,56,Hesperostipa comata,0.021304571
Q10,56,Poa secunda,0.003437992
Q10,56,Pseudoroegneria spicata,0.017998591
Q10,56,Artemisia tripartita,0
Q10,57,Hesperostipa comata,0.016172552
Q10,57,Poa secunda,0.002707471
Q10,57,Pseudoroegneria spicata,0.010335491
Q10,57,Artemisia tripartita,0
Q11,30,Artemisia tripartita,0.000946026
Q11,30,Hesperostipa comata,0.012679147
Q11,30,Poa secunda,0.001916842
Q11,30,Pseudoroegneria spicata,0.013355046
Q11,31,Artemisia tripartita,0.004557454
Q11,31,Hesperostipa comata,0.02024223
Q11,31,Poa secunda,0.003334182
Q11,31,Pseudoroegneria spicata,0.023219931
Q11,32,Artemisia tripartita,0.012875513
Q11,32,Hesperostipa comata,0.012011204
Q11,32,Poa secunda,0.027106832
Q11,32,Pseudoroegneria spicata,0.0286569
Q11,33,Artemisia tripartita,0.017939833
Q11,33,Hesperostipa comata,0.028511558
Q11,33,Poa secunda,0.005874367
Q11,33,Pseudoroegneria spicata,0.028097584
Q11,34,Artemisia tripartita,0.001677221
Q11,34,Hesperostipa comata,0.027095886
Q11,34,Poa secunda,0.007579471
Q11,34,Pseudoroegneria spicata,0.019892352
Q11,35,Artemisia tripartita,0.008819243
Q11,35,Hesperostipa comata,0.022960613
Q11,35,Poa secunda,0.011743514
Q11,35,Pseudoroegneria spicata,0.019042378
Q11,36,Artemisia tripartita,0.007035823
Q11,36,Hesperostipa comata,0.015346955
Q11,36,Poa secunda,0.008959025
Q11,36,Pseudoroegneria spicata,0.016691198
Q11,37,Artemisia tripartita,0.007283768
Q11,37,Hesperostipa comata,0.023074142
Q11,37,Poa secunda,0.008271562
Q11,37,Pseudoroegneria spicata,0.015333968
Q11,38,Artemisia tripartita,0.002836041
Q11,38,Hesperostipa comata,0.024290748
Q11,38,Poa secunda,0.011303529
Q11,38,Pseudoroegneria spicata,0.012819881
Q11,39,Artemisia tripartita,0.007385224
Q11,39,Hesperostipa comata,0.016115789
Q11,39,Poa secunda,0.020599464
Q11,39,Pseudoroegneria spicata,0.016802172
Q11,40,Artemisia tripartita,0.007806033
Q11,40,Hesperostipa comata,0.021789783
Q11,40,Poa secunda,0.012147265
