Site,Spp,Site_code,Species,Tree,Tree_ID,Branch,Branch_ID,Diameter,Length,Wood_Wet_wt ,Wood_ratio,wood_dry_wt,Leaf_Wet_wt,Leaf_ratio,Leaf_dry_wt,Aggregated_Wood_Wt,Aggregated_Leaf_Wt,Total_Mass,Light,Light_SD,Fire,MAP,Lat
Tiendega,Detarium microcarpum,1,1,1,FH1,1,A2,2.6,120.1,425,0.527208188,224.0634798,327,0.451558036,147.6594778,224.0634798,147.6594778,371.7229576,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,1,FH1,2,A3,3.2,173.4,700,0.527208188,369.0457314,492,0.451558036,222.1665537,369.0457314,222.1665537,591.2122851,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,1,FH1,3,A1,5.1,227.1,2290,0.527208188,1207.30675,580,0.451558036,261.9036609,1800.415961,631.7296924,2432.145653,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,1,FH1,4,B1,3.8,171.2,550,0.527208188,289.9645033,257,0.451558036,116.0504153,289.9645033,116.0504153,406.0149185,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,1,FH1,5,C1,3.3,183.8,990,0.527208188,521.9361059,610,0.451558036,275.450402,521.9361059,275.450402,797.3865078,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,1,FH1,6,D1,2.4,136.6,260,0.527208188,137.0741288,235,0.451558036,106.1161385,137.0741288,106.1161385,243.1902673,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,1,FH1,7,MS,10.3,511.3,17250,0.527208188,9094.341238,1567,0.451558036,707.5914424,12436.84115,2206.764122,14643.60527,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,1,A2,3.4,259.9,1590,0.527208188,838.2610185,606,0.451558036,273.6441698,838.2610185,273.6441698,1111.905188,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,2,A3,2.5,172.9,475,0.527208188,250.4238892,279,0.451558036,125.984692,250.4238892,125.984692,376.4085812,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,3,A4,2.4,125.2,350,0.527208188,184.5228657,232,0.451558036,104.7614644,184.5228657,104.7614644,289.2843301,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,4,A1,5.7,450.6,6000,0.527208188,3163.249126,446,0.451558036,201.3948841,4436.4569,705.7852103,5142.24211,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,5,B2,3.1,168.8,550,0.527208188,289.9645033,219,0.451558036,98.89120988,289.9645033,98.89120988,388.8557131,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,6,B1,4.3,385.8,3640,0.527208188,1919.037803,673,0.451558036,303.8985582,2209.002307,402.7897681,2611.792075,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,7,C1,2.6,218.3,950,0.527208188,500.8477783,144,0.451558036,65.02435718,500.8477783,65.02435718,565.8721355,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,8,D2,3.5,229.3,1010,0.527208188,532.4802696,306,0.451558036,138.176759,532.4802696,138.176759,670.6570286,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,9,D1,3.8,289.5,2310,0.527208188,1217.850914,496,0.451558036,223.9727859,1750.331183,362.1495449,2112.480728,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,10,E1,3.4,257.9,1710,0.527208188,901.526001,507,0.451558036,228.9399243,901.526001,228.9399243,1130.465925,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,11,F1,2.7,181.9,860,0.527208188,453.3990415,354,0.451558036,159.8515447,453.3990415,159.8515447,613.2505862,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,12,MS,13.1,760.6,37250,0.527208188,19638.50499,361,0.451558036,163.012451,31985.72075,2829.011096,34814.73185,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,13,S-A,1.1,132.3,62,0.527208188,32.68690764,57,0.451558036,25.73880805,-9999,-9999,-19998,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,14,S-B,0.8,98.6,31,0.527208188,16.34345382,43,0.451558036,19.41699555,-9999,-9999,-19998,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,2,FH11,15,S-C,1.1,106.6,61,0.527208188,32.15969945,58,0.451558036,26.19036609,-9999,-9999,-19998,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,3,fh5,1,A2,3.1,119.3,1000,0.527208188,527.2081877,787,0.451558036,355.3761743,527.2081877,355.3761743,882.5843621,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,3,fh5,2,A1,6.2,385.8,7000,0.527208188,3690.457314,1117,0.451558036,504.3903262,4217.665502,859.7665005,5077.432002,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,3,fh5,3,B1,4.1,69.7,200,0.527208188,105.4416375,259,0.451558036,116.9535313,105.4416375,116.9535313,222.3951689,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,3,fh5,4,C1,2.6,107.6,340,0.527208188,179.2507838,291,0.451558036,131.4033885,179.2507838,131.4033885,310.6541723,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,3,fh5,5,D1,3.3,71.9,140,0.527208188,73.80914628,200,0.451558036,90.3116072,73.80914628,90.3116072,164.1207535,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,3,fh5,6,E1,2,76.4,150,0.527208188,79.08122816,187,0.451558036,84.44135273,79.08122816,84.44135273,163.5225809,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,3,fh5,7,F1,2.4,92.3,310,0.527208188,163.4345382,190,0.451558036,85.79602684,163.4345382,85.79602684,249.230565,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,3,fh5,8,MS,10,482.7,13500,0.527208188,7117.310534,983,0.451558036,443.8815494,12463.20156,2167.930131,14631.13169,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,9,A2,2.6,175.9,540,0.527208188,284.6924214,275,0.451558036,124.1784599,284.6924214,124.1784599,408.8708813,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,10,A3-1,3,209.4,1025,0.527208188,540.3883924,530,0.451558036,239.3257591,703.8229306,375.696286,1079.519217,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,11,A3-2,2.1,134.6,310,0.527208188,163.4345382,302,0.451558036,136.3705269,163.4345382,136.3705269,299.8050651,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,12,A3,3.7,266.4,1660,0.527208188,875.1655916,456,0.451558036,205.9104644,1578.988522,581.6067504,2160.595273,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,13,A1,5.3,357.2,3740,0.527208188,1971.758622,845,0.451558036,381.5665404,3835.439566,1087.351751,4922.791316,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,14,B1,4.3,273.5,1890,0.527208188,996.4234748,755,0.451558036,340.9263172,996.4234748,340.9263172,1337.349792,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,15,C1,2.6,170.2,510,0.527208188,268.8761757,403,0.451558036,181.9778885,268.8761757,181.9778885,450.8540643,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,16,MS,13.2,596.2,22000,0.527208188,11598.58013,961,0.451558036,433.9472726,19430.25776,3262.055252,22692.31301,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,,S-A,1,117.1,47,0.527208188,24.77878482,52,0.451558036,23.48101787,-9999,-9999,-19998,-0.414812343,0.067897601,0.35,1400,11.039483
Tiendega,Detarium microcarpum,1,1,4,fh2,,S-B,1.1,127.3,106,0.527208188,55.8840679,160,0.451558036,72.24928576,-9999,-9999,-19998,-0.414812343,0.067897601,0.35,1400,11.039483
