"","taxonName","country","decimalLatitude","decimalLongitude","catalogNumber","earliestDateCollected","latestDateCollected"
"1","Accipiter erythronemius","Argentina",-25.911388,-54.356087,"38199",NA,NA
"2","Accipiter erythronemius","Argentina",-25.86133,-54.523445,"38015",NA,NA
"3","Accipiter erythronemius","Argentina",-27.352036,-65.596112,"42228",NA,NA
"4","Accipiter erythronemius","Argentina",-27.352036,-65.596112,"42229",NA,NA
"5","Accipiter erythronemius","Argentina",-27.352036,-65.596112,"42227",NA,NA
"6","Accipiter erythronemius","Argentina",-25.86133,-54.523445,"39196",NA,NA
"7","Accipiter erythronemius","Guyana",5.26666666666667,-60.7333333333333,"93439","2001-04-03","2001-04-03"
"8","Accipiter erythronemius","Guyana",5.26666666666667,-60.7333333333333,"3998","2001-04-03","2001-04-03"
"9","Accipiter erythronemius","Argentina",-31.1333,-59.0167,"YPM ORN 065671","1961-04-30","1961-04-30"
"10","Accipiter erythronemius","W. Colombia",3.76666666666667,-76.75,"Skin-470489",NA,NA
