country	continent	intercept	slope
Afghanistan	Asia	29.9072948717949	0.275328671328671
Albania	Europe	59.2291282051282	0.334683216783216
Algeria	Africa	43.3749743589744	0.56927972027972
Angola	Africa	32.1266538461539	0.20933986013986
Argentina	Americas	62.6884358974359	0.231708391608391
Austria	Europe	66.4484615384616	0.241992307692307
Bahrain	Asia	52.7492051282051	0.467507692307692
Bangladesh	Asia	36.1354871794872	0.498130769230769
Belgium	Europe	67.8919230769231	0.209084615384615
Benin	Africa	39.5885128205128	0.334232867132867
Bolivia	Americas	38.7564487179487	0.499932167832167
Bosnia and Herzegovina	Europe	58.0895641025641	0.349755244755244
Botswana	Africa	52.9291153846154	0.0606685314685308
Brazil	Americas	51.5120384615385	0.39008951048951
Bulgaria	Europe	65.7373076923078	0.14568881118881
Burkina Faso	Africa	34.6846923076923	0.363974825174825
Burundi	Africa	40.578641025641	0.154134265734266
Cambodia	Asia	37.0154230769231	0.395902797202797
Cameroon	Africa	41.2494615384616	0.250146853146853
Canada	Americas	68.8838461538462	0.21886923076923
Central African Republic	Africa	38.8095128205128	0.183905594405594
Chad	Africa	39.8093717948718	0.253244055944055
Chile	Americas	54.3177051282052	0.476844055944055
China	Asia	47.1904815384616	0.530714853146853
Colombia	Americas	53.4271153846154	0.38075034965035
Comoros	Africa	39.996	0.450390909090909
Congo, Dem. Rep.	Africa	41.9610769230769	0.0939153846153844
Congo, Rep.	Africa	47.1367820512821	0.195095804195804
Costa Rica	Americas	59.1047051282051	0.40278951048951
Cote d'Ivoire	Africa	44.845858974359	0.130556643356643
Croatia	Europe	63.8557820512821	0.22545944055944
Cuba	Americas	62.2134487179487	0.321150349650349
Czech Republic	Europe	67.528076923077	0.144815384615384
Denmark	Europe	71.0335897435898	0.12133006993007
Djibouti	Africa	36.2771538461539	0.367403496503496
Dominican Republic	Americas	48.5978076923077	0.471152447552447
Ecuador	Americas	49.0653717948718	0.500053146853146
Egypt	Africa	40.968	0.555454545454545
El Salvador	Americas	46.5119487179487	0.477141258741258
Equatorial Guinea	Africa	34.4303076923077	0.310170629370629
Eritrea	Africa	35.6952692307692	0.37469020979021
Ethiopia	Africa	36.0281538461539	0.307185314685314
Finland	Europe	66.4489743589744	0.237925174825174
France	Europe	67.7901282051282	0.238501398601399
Gabon	Africa	38.9353461538461	0.446732867132867
Gambia	Africa	28.4003717948718	0.581825874125873
Germany	Europe	67.5681282051282	0.213683216783216
Ghana	Africa	43.4927435897436	0.321742657342657
Greece	Europe	67.0672051282051	0.242398601398601
Guatemala	Americas	42.1193974358974	0.531273426573426
Guinea	Africa	31.5569871794872	0.424830769230769
Guinea-Bissau	Africa	31.7370384615385	0.271753146853147
Haiti	Americas	39.2461538461539	0.397058041958042
Honduras	Americas	42.9924102564102	0.542851748251748
Hong Kong, China	Asia	63.428641025641	0.365970629370629
Hungary	Europe	65.9928205128205	0.123648951048951
Iceland	Europe	71.9635897435898	0.165375524475524
India	Asia	39.2697564102564	0.505320979020979
Indonesia	Asia	36.8831153846154	0.634641258741258
Iran	Asia	44.9789871794872	0.49663986013986
Iraq	Asia	50.1134615384616	0.235210489510489
Ireland	Europe	67.5414615384615	0.19911958041958
Israel	Asia	66.3004102564103	0.267106293706294
Italy	Europe	66.5967948717949	0.269710489510489
Jamaica	Americas	62.6609871794872	0.221394405594405
Japan	Asia	65.1220512820513	0.352904195804195
Jordan	Asia	44.063858974359	0.57172937062937
Kenya	Africa	47.0020384615385	0.206507692307692
Korea, Dem. Rep.	Asia	54.9056025641026	0.316426573426573
Korea, Rep.	Asia	49.7275	0.5554
Kuwait	Asia	57.4593333333333	0.416836363636363
Lebanon	Asia	58.687358974359	0.26102937062937
Lesotho	Africa	47.3790256410257	0.0955657342657339
Liberia	Africa	39.8364230769231	0.0959937062937062
Libya	Africa	42.1019358974359	0.625535664335664
Madagascar	Africa	36.6680641025641	0.403727972027972
Malawi	Africa	36.9103717948718	0.234225874125874
Malaysia	Asia	51.505217948718	0.464522377622377
Mali	Africa	33.0512307692308	0.37680979020979
Mauritania	Africa	40.0256025641026	0.446417482517482
Mauritius	Africa	55.3707692307692	0.348453846153846
Mexico	Americas	53.0053717948718	0.451034965034965
Mongolia	Asia	43.8264102564103	0.438688111888112
Montenegro	Europe	62.2416282051282	0.293001398601398
Morocco	Africa	42.6908333333334	0.542472727272727
Mozambique	Africa	34.2061538461539	0.224485314685315
Myanmar	Asia	41.4115512820513	0.433095104895104
Namibia	Africa	47.1343333333333	0.231163636363636
Nepal	Asia	34.431641025641	0.529261538461538
Netherlands	Europe	71.8896153846154	0.136686713286713
Nicaragua	Americas	43.0451282051282	0.55651958041958
Niger	Africa	35.1506666666667	0.34210909090909
Nigeria	Africa	37.8595256410256	0.208065734265734
Norway	Europe	72.2146153846154	0.131941258741258
Oman	Asia	37.2077435897436	0.772179020979021
Pakistan	Asia	43.7229615384616	0.405792307692307
Panama	Americas	58.061	0.354209090909091
Paraguay	Americas	62.4818333333334	0.157354545454545
Peru	Americas	44.3476410256411	0.527697902097902
Philippines	Asia	49.4043461538462	0.42046923076923
Poland	Europe	64.7808974358975	0.196218881118881
Portugal	Europe	61.1467948717949	0.337201398601398
Puerto Rico	Americas	66.9485256410257	0.210574825174825
Reunion	Africa	53.9975384615385	0.459880419580419
Romania	Europe	63.9621282051282	0.157401398601398
Rwanda	Africa	42.7419487179487	-0.0458314685314688
Sao Tome and Principe	Africa	48.5275641025641	0.340682517482517
Saudi Arabia	Asia	40.8141153846154	0.649623076923077
Senegal	Africa	36.7466666666667	0.504699999999999
Serbia	Europe	61.5343461538462	0.255151048951048
Sierra Leone	Africa	30.8832051282051	0.214034965034965
Singapore	Asia	61.8458846153846	0.340886013986014
Slovak Republic	Europe	67.0098717948718	0.134044055944055
Slovenia	Europe	66.0863461538462	0.200523776223776
Somalia	Africa	34.6753974358974	0.229573426573426
South Africa	Africa	49.3412820512821	0.16915944055944
Spain	Europe	66.4778205128206	0.280930769230768
Sri Lanka	Asia	59.7914871794872	0.244894405594405
Sudan	Africa	37.8741923076923	0.382774825174825
Swaziland	Africa	46.387858974359	0.0950748251748249
Sweden	Europe	71.605	0.166254545454545
Switzerland	Europe	69.453717948718	0.222231468531468
Syria	Asia	46.1012820512821	0.55435944055944
Taiwan	Asia	61.3374358974359	0.327244755244755
Tanzania	Africa	43.1084102564103	0.174688111888112
Thailand	Asia	52.6564230769231	0.347048251748252
Togo	Africa	40.9774615384615	0.382592307692308
Trinidad and Tobago	Americas	62.0523076923077	0.173661538461538
