year,data
1901,19.954465866088867
1902,18.801143646240234
1903,23.728622436523438
1904,23.42922019958496
1905,21.57478141784668
1906,22.084640502929688
1907,23.882217407226562
1908,24.557706832885742
1909,21.518083572387695
1910,24.79673194885254
1911,23.03458595275879
1912,21.507434844970703
1913,22.202287673950195
1914,26.63213539123535
1915,21.80705451965332
1916,22.228105545043945
1917,16.718273162841797
1918,21.789024353027344
1919,22.729549407958984
1920,23.21527671813965
1921,22.763317108154297
1922,23.096759796142578
1923,24.96225357055664
1924,26.917919158935547
1925,18.131099700927734
1926,24.082761764526367
1927,20.160892486572266
1928,22.904003143310547
1929,21.20675277709961
1930,23.985212326049805
1931,25.016122817993164
1932,24.05370330810547
1933,24.809505462646484
1934,24.09722328186035
1935,24.01576805114746
1936,22.991857528686523
1937,24.39242935180664
1938,24.728076934814453
1939,26.708850860595703
1940,21.96209144592285
1941,25.009449005126953
1942,25.68428611755371
1943,24.226144790649414
1944,24.394062042236328
1945,25.724048614501953
1946,19.831127166748047
1947,21.030092239379883
1948,20.45503807067871
1949,22.094417572021484
1950,22.13529396057129
1951,25.86467933654785
1952,22.34188461303711
1953,25.147930145263672
1954,24.695995330810547
1955,21.09531593322754
1956,26.912826538085938
1957,36.541255950927734
1958,24.217782974243164
1959,31.64068603515625
1960,29.366912841796875
1961,26.61410903930664
1962,21.469770431518555
1963,22.726062774658203
1964,28.00359535217285
1965,26.47007179260254
1966,23.573692321777344
1967,25.88888931274414
1968,26.285348892211914
1969,23.622875213623047
1970,18.376062393188477
1971,16.146324157714844
1972,30.655691146850586
1973,22.981155395507812
1974,24.274045944213867
1975,22.74305534362793
1976,27.4425106048584
1977,20.654220581054688
1978,23.792701721191406
1979,25.420751571655273
1980,26.49123191833496
1981,27.206371307373047
1982,28.34237289428711
1983,22.57317543029785
1984,22.249019622802734
1985,18.740741729736328
1986,25.221651077270508
1987,20.287090301513672
1988,25.534151077270508
1989,23.66326332092285
1990,24.912771224975586
1991,30.056289672851562
1992,29.194446563720703
1993,23.990413665771484
1994,25.02273941040039
1995,21.540142059326172
1996,23.144989013671875
1997,22.808443069458008
1998,27.055227279663086
1999,21.565332412719727
2000,14.919797897338867
2001,15.16154670715332
2002,21.53997802734375
2003,27.542810440063477
2004,18.389652252197266
2005,26.90130615234375
2006,23.833824157714844
2007,24.966476440429688
2008,19.671432495117188
2009,29.109912872314453
