year,data
1901,13.096677780151367
1902,13.309858322143555
1903,12.064352035522461
1904,12.619226455688477
1905,12.437118530273438
1906,12.978948593139648
1907,12.276688575744629
1908,12.527205467224121
1909,12.79784870147705
1910,12.057897567749023
1911,12.29517936706543
1912,12.902369499206543
1913,12.642592430114746
1914,13.308415412902832
1915,13.9225492477417
1916,12.520452499389648
1917,13.17521858215332
1918,11.868109703063965
1919,12.038752555847168
1920,11.508769035339355
1921,12.502941131591797
1922,12.97407341003418
1923,11.935647964477539
1924,12.171977043151855
1925,12.66653060913086
1926,12.73371410369873
1927,12.74055004119873
1928,12.429030418395996
1929,12.0589599609375
1930,12.016857147216797
1931,12.070451736450195
1932,12.387336730957031
1933,12.473447799682617
1934,11.963971138000488
1935,11.97652530670166
1936,12.653676986694336
1937,12.071295738220215
1938,12.760702133178711
1939,12.860593795776367
1940,13.448638916015625
1941,14.052068710327148
1942,13.079548835754395
1943,12.422548294067383
1944,13.028512954711914
1945,12.348365783691406
1946,13.111139297485352
1947,13.688725471496582
1948,12.964950561523438
1949,11.965741157531738
1950,11.521459579467773
1951,12.672467231750488
1952,12.815332412719727
1953,13.340495109558105
1954,12.314188003540039
1955,13.218355178833008
1956,12.726470947265625
1957,11.457107543945312
1958,13.281781196594238
1959,12.710267066955566
1960,12.427369117736816
1961,12.881208419799805
1962,12.499809265136719
1963,13.515713691711426
1964,11.882081031799316
1965,12.775789260864258
1966,13.063207626342773
1967,12.5164213180542
1968,12.444171905517578
1969,12.364133834838867
1970,13.470588684082031
1971,13.59436321258545
1972,11.218817710876465
1973,12.871515274047852
1974,12.071977615356445
1975,12.195915222167969
1976,12.503267288208008
1977,13.542892456054688
1978,13.09730339050293
1979,12.992265701293945
1980,13.33148193359375
1981,13.356208801269531
1982,12.30201530456543
1983,13.343791007995605
1984,12.905309677124023
1985,13.397577285766602
1986,12.790441513061523
1987,13.479494094848633
1988,14.105201721191406
1989,12.698202133178711
1990,13.57628059387207
1991,13.15190601348877
1992,12.627123832702637
1993,12.980337142944336
1994,13.100027084350586
1995,13.025299072265625
1996,12.583795547485352
1997,12.902259826660156
1998,13.209803581237793
1999,14.076878547668457
2000,13.71094799041748
2001,14.4071626663208
2002,14.278839111328125
2003,13.816203117370605
2004,14.669527053833008
2005,14.107597351074219
2006,14.277315139770508
2007,14.124646186828613
2008,14.249018669128418
2009,14.22230339050293
