year,data
1901,14.340197563171387
1902,14.090124130249023
1903,13.878196716308594
1904,13.987001419067383
1905,13.679903984069824
1906,14.203349113464355
1907,13.599275588989258
1908,13.85204029083252
1909,13.663915634155273
1910,13.769079208374023
1911,13.455011367797852
1912,14.108625411987305
1913,14.212300300598145
1914,13.787878036499023
1915,13.780123710632324
1916,13.696012496948242
1917,13.820222854614258
1918,13.631599426269531
1919,14.036676406860352
1920,13.999494552612305
1921,13.603250503540039
1922,13.610712051391602
1923,13.30986213684082
1924,13.492843627929688
1925,13.914240837097168
1926,14.180216789245605
1927,13.992025375366211
1928,13.577372550964355
1929,14.088430404663086
1930,14.025245666503906
1931,13.5205078125
1932,14.262533187866211
1933,13.884037971496582
1934,13.63512134552002
1935,13.9833402633667
1936,13.799509048461914
1937,13.818925857543945
1938,13.608671188354492
1939,13.781885147094727
1940,13.775558471679688
1941,13.727717399597168
1942,13.693168640136719
1943,14.219198226928711
1944,14.537353515625
1945,14.607768058776855
1946,13.849807739257812
1947,14.049128532409668
1948,14.035964965820312
1949,14.105056762695312
1950,13.96118450164795
1951,14.110194206237793
1952,14.212499618530273
1953,14.177858352661133
1954,13.741853713989258
1955,13.472734451293945
1956,13.304265975952148
1957,13.788622856140137
1958,13.984230041503906
1959,13.52892780303955
1960,14.069757461547852
1961,14.034210205078125
1962,13.944890022277832
1963,13.85810661315918
1964,13.449023246765137
1965,13.943242073059082
1966,13.735885620117188
1967,14.045275688171387
1968,14.203561782836914
1969,14.27446174621582
1970,14.195594787597656
1971,13.638270378112793
1972,13.80968952178955
1973,13.594810485839844
1974,13.609176635742188
1975,13.877406120300293
1976,13.324979782104492
1977,14.283340454101562
1978,14.168866157531738
1979,14.028947830200195
1980,14.245893478393555
1981,14.151494979858398
1982,14.215490341186523
1983,13.946557998657227
1984,13.318574905395508
1985,14.236955642700195
1986,14.223896980285645
1987,14.133600234985352
1988,13.7598876953125
1989,14.4779634475708
1990,14.135459899902344
1991,14.171305656433105
1992,13.801913261413574
1993,14.192502975463867
1994,14.659635543823242
1995,14.012433052062988
1996,14.098936080932617
1997,14.42346477508545
1998,14.174906730651855
1999,13.915942192077637
2000,13.560453414916992
2001,14.209988594055176
2002,13.959881782531738
2003,14.345993041992188
2004,14.282575607299805
2005,14.040005683898926
2006,14.50164794921875
2007,13.589075088500977
2008,14.444822311401367
2009,14.451980590820312
