year,data
1901,36.893699645996094
1902,27.890613555908203
1903,43.45676803588867
1904,39.25102615356445
1905,30.674428939819336
1906,39.019317626953125
1907,39.762596130371094
1908,39.022518157958984
1909,36.978736877441406
1910,43.39442825317383
1911,35.870567321777344
1912,32.33753967285156
1913,39.80101776123047
1914,36.26666259765625
1915,32.151939392089844
1916,42.36199188232422
1917,45.650787353515625
1918,38.40887451171875
1919,32.751075744628906
1920,38.492408752441406
1921,43.96104431152344
1922,36.523658752441406
1923,34.75804901123047
1924,36.017906188964844
1925,37.198486328125
1926,34.80601501464844
1927,35.37103271484375
1928,33.5820198059082
1929,34.823143005371094
1930,38.492088317871094
1931,36.733978271484375
1932,33.752742767333984
1933,36.92513656616211
1934,37.48643493652344
1935,30.7714786529541
1936,35.79094696044922
1937,35.04768753051758
1938,31.935983657836914
1939,40.15184783935547
1940,34.82210159301758
1941,38.590118408203125
1942,40.384521484375
1943,35.260231018066406
1944,33.486419677734375
1945,36.14760971069336
1946,34.70832443237305
1947,40.935081481933594
1948,34.381187438964844
1949,40.21025466918945
1950,46.815086364746094
1951,32.162742614746094
1952,33.18444061279297
1953,38.29688262939453
1954,37.64652633666992
1955,42.538822174072266
1956,48.93977355957031
1957,34.61754608154297
1958,35.57707595825195
1959,36.29047393798828
1960,41.19928741455078
1961,30.9796142578125
1962,39.13458251953125
1963,40.309165954589844
1964,38.64573287963867
1965,31.251384735107422
1966,32.81766891479492
1967,37.844642639160156
1968,41.95111083984375
1969,36.76244354248047
1970,33.32152557373047
1971,40.27581024169922
1972,32.83842086791992
1973,49.97289276123047
1974,54.95591354370117
1975,46.26750564575195
1976,44.73540496826172
1977,40.90581512451172
1978,41.34014892578125
1979,38.366859436035156
1980,37.55142593383789
1981,44.78137969970703
1982,35.413204193115234
1983,39.39937210083008
1984,43.653968811035156
1985,35.19230651855469
1986,32.86090850830078
1987,39.97596740722656
1988,37.44737243652344
1989,39.82090377807617
1990,34.161888122558594
1991,39.80043411254883
1992,34.58548355102539
1993,40.339027404785156
1994,30.67665672302246
1995,42.48743438720703
1996,39.67475128173828
1997,41.19868469238281
1998,43.416542053222656
1999,46.62199020385742
2000,47.001426696777344
2001,40.667640686035156
2002,32.09957504272461
2003,38.0220832824707
2004,41.080406188964844
2005,31.36713218688965
2006,38.399497985839844
2007,39.48942565917969
2008,37.755332946777344
2009,40.328208923339844
