year,data
1901,21.35702133178711
1902,21.382461547851562
1903,20.9368839263916
1904,20.791357040405273
1905,20.954509735107422
1906,21.767314910888672
1907,21.051441192626953
1908,20.6490478515625
1909,20.812076568603516
1910,21.294960021972656
1911,21.101551055908203
1912,21.54924201965332
1913,20.955944061279297
1914,21.89181137084961
1915,21.851543426513672
1916,21.25365447998047
1917,20.51503562927246
1918,21.054868698120117
1919,21.4986515045166
1920,20.98809242248535
1921,21.350399017333984
1922,21.16065788269043
1923,21.24516487121582
1924,20.847312927246094
1925,20.788928985595703
1926,21.535749435424805
1927,21.176246643066406
1928,21.684955596923828
1929,20.806751251220703
1930,21.424381256103516
1931,20.982269287109375
1932,21.250154495239258
1933,21.073204040527344
1934,21.188640594482422
1935,21.075069427490234
1936,21.399372100830078
1937,21.230487823486328
1938,21.782573699951172
1939,21.05294418334961
1940,21.318531036376953
1941,20.936115264892578
1942,21.50132942199707
1943,20.862316131591797
1944,21.126354217529297
1945,21.121063232421875
1946,20.850688934326172
1947,21.157663345336914
1948,21.002819061279297
1949,20.5687198638916
1950,20.86891746520996
1951,21.056760787963867
1952,21.036128997802734
1953,21.010831832885742
1954,21.04604148864746
1955,21.122854232788086
1956,20.544973373413086
1957,21.454187393188477
1958,21.547883987426758
1959,21.680461883544922
1960,20.85142707824707
1961,21.552526473999023
1962,21.39192771911621
1963,21.338329315185547
1964,21.226362228393555
1965,21.669321060180664
1966,20.94718360900879
1967,21.2249755859375
1968,21.03404998779297
1969,21.395410537719727
1970,21.310115814208984
1971,21.214195251464844
1972,21.574920654296875
1973,21.90311050415039
1974,20.75830841064453
1975,21.215776443481445
1976,20.764522552490234
1977,21.398935317993164
1978,21.15521812438965
1979,21.765207290649414
1980,22.13058853149414
1981,21.700855255126953
1982,21.449705123901367
1983,21.750802993774414
1984,21.048606872558594
1985,21.594568252563477
1986,21.581607818603516
1987,21.594270706176758
1988,22.105854034423828
1989,21.374849319458008
1990,21.8710994720459
1991,22.043804168701172
1992,21.48960304260254
1993,21.701007843017578
1994,21.64322280883789
1995,21.480915069580078
1996,21.8175106048584
1997,21.537134170532227
1998,22.111726760864258
1999,21.574703216552734
2000,21.24332046508789
2001,21.3010311126709
2002,21.97096061706543
2003,21.95823097229004
2004,21.792003631591797
2005,22.352182388305664
2006,21.625444412231445
2007,21.74538230895996
2008,21.50396156311035
2009,21.921939849853516
