year,data
1901,147.83460998535156
1902,146.87147521972656
1903,145.65737915039062
1904,146.2140655517578
1905,149.61709594726562
1906,147.43429565429688
1907,148.61390686035156
1908,146.21730041503906
1909,142.02566528320312
1910,145.23390197753906
1911,143.3019256591797
1912,141.96116638183594
1913,144.5592041015625
1914,137.56192016601562
1915,129.6704559326172
1916,145.03726196289062
1917,148.49002075195312
1918,145.00022888183594
1919,139.0526885986328
1920,145.58663940429688
1921,152.37277221679688
1922,151.19772338867188
1923,145.57762145996094
1924,160.95828247070312
1925,139.11019897460938
1926,148.15628051757812
1927,141.8533935546875
1928,145.1610107421875
1929,149.04522705078125
1930,135.64959716796875
1931,141.88429260253906
1932,132.8289031982422
1933,141.79078674316406
1934,148.32363891601562
1935,147.14651489257812
1936,135.29428100585938
1937,149.95458984375
1938,142.32962036132812
1939,142.0170440673828
1940,146.67440795898438
1941,137.6204833984375
1942,137.8931121826172
1943,147.3221893310547
1944,142.38377380371094
1945,155.15744018554688
1946,139.03729248046875
1947,154.75057983398438
1948,147.29055786132812
1949,147.94873046875
1950,146.81454467773438
1951,135.87840270996094
1952,140.6101531982422
1953,147.66201782226562
1954,141.01473999023438
1955,149.43606567382812
1956,156.37362670898438
1957,145.95834350585938
1958,141.5271759033203
1959,141.3041534423828
1960,144.95120239257812
1961,139.48233032226562
1962,144.56842041015625
1963,132.81341552734375
1964,156.71018981933594
1965,146.76129150390625
1966,145.98855590820312
1967,143.62652587890625
1968,144.3509521484375
1969,139.36019897460938
1970,143.86459350585938
1971,147.74057006835938
1972,147.9314422607422
1973,157.6012725830078
1974,159.00332641601562
1975,152.14453125
1976,146.17257690429688
1977,148.54324340820312
1978,148.80105590820312
1979,145.70877075195312
1980,145.25775146484375
1981,141.10618591308594
1982,148.61715698242188
1983,139.78610229492188
1984,149.5557098388672
1985,160.96090698242188
1986,145.52090454101562
1987,136.06015014648438
1988,146.56948852539062
1989,158.79214477539062
1990,136.72195434570312
1991,141.1781768798828
1992,141.75830078125
1993,140.8339080810547
1994,149.3336639404297
1995,148.47740173339844
1996,154.9246826171875
1997,149.37013244628906
1998,145.16665649414062
1999,149.7932586669922
2000,164.98431396484375
2001,144.16175842285156
2002,150.9315643310547
2003,142.44534301757812
2004,151.9185333251953
2005,151.57907104492188
2006,155.50057983398438
2007,145.25425720214844
2008,158.68472290039062
2009,159.8905029296875
