year,data
1901,24.896547317504883
1902,25.09181022644043
1903,24.896106719970703
1904,24.52747344970703
1905,24.840496063232422
1906,24.773937225341797
1907,24.72626495361328
1908,24.89122772216797
1909,24.801494598388672
1910,24.767641067504883
1911,24.702342987060547
1912,24.70248794555664
1913,24.747655868530273
1914,25.00150489807129
1915,25.06379508972168
1916,24.57373809814453
1917,24.08193588256836
1918,24.57341766357422
1919,24.9923152923584
1920,24.62969207763672
1921,24.334964752197266
1922,24.371807098388672
1923,24.374109268188477
1924,24.25542640686035
1925,24.437938690185547
1926,24.772418975830078
1927,24.3385009765625
1928,24.549428939819336
1929,24.38846778869629
1930,24.692787170410156
1931,24.632919311523438
1932,24.742475509643555
1933,24.408184051513672
1934,24.358976364135742
1935,24.5523681640625
1936,24.793363571166992
1937,24.74992561340332
1938,24.633394241333008
1939,24.676408767700195
1940,24.92098045349121
1941,25.087818145751953
1942,24.889429092407227
1943,24.662492752075195
1944,24.960235595703125
1945,24.75187110900879
1946,24.822669982910156
1947,24.613426208496094
1948,24.73712921142578
1949,24.509994506835938
1950,24.528568267822266
1951,24.48879623413086
1952,24.64490509033203
1953,24.787126541137695
1954,24.85759162902832
1955,24.568645477294922
1956,24.290782928466797
1957,24.673686981201172
1958,25.121524810791016
1959,24.947986602783203
1960,24.629892349243164
1961,25.141963958740234
1962,24.805339813232422
1963,25.217241287231445
1964,24.83236312866211
1965,25.042736053466797
1966,25.179237365722656
1967,25.03599739074707
1968,24.658405303955078
1969,25.264169692993164
1970,25.130067825317383
1971,24.418861389160156
1972,24.888160705566406
1973,25.007068634033203
1974,24.39625358581543
1975,24.43808364868164
1976,24.396129608154297
1977,24.8078556060791
1978,24.677865982055664
1979,24.693517684936523
1980,24.84146499633789
1981,24.648700714111328
1982,24.807029724121094
1983,25.007808685302734
1984,24.80415916442871
1985,24.776477813720703
1986,24.891206741333008
1987,25.30252456665039
1988,25.050127029418945
1989,24.709226608276367
1990,25.069971084594727
1991,25.0411319732666
1992,24.83469009399414
1993,24.95584487915039
1994,25.072952270507812
1995,25.30023193359375
1996,25.046737670898438
1997,25.368227005004883
1998,25.686229705810547
1999,25.147045135498047
2000,25.142066955566406
2001,25.421627044677734
2002,25.657180786132812
2003,25.480741500854492
2004,25.389251708984375
2005,25.700729370117188
2006,25.49415397644043
2007,25.547107696533203
2008,25.218435287475586
2009,25.496074676513672
