year,data
1901,37.4483528137207
1902,38.25142288208008
1903,37.553001403808594
1904,37.351932525634766
1905,37.515869140625
1906,37.517005920410156
1907,36.76292037963867
1908,36.401649475097656
1909,36.98836135864258
1910,36.27269744873047
1911,35.959678649902344
1912,36.276893615722656
1913,36.81501007080078
1914,35.09465789794922
1915,34.94670867919922
1916,35.80474853515625
1917,35.644981384277344
1918,36.32713317871094
1919,35.73691177368164
1920,35.41762924194336
1921,36.15359878540039
1922,34.35395812988281
1923,35.396644592285156
1924,34.96198654174805
1925,35.689056396484375
1926,35.995418548583984
1927,36.384788513183594
1928,34.71998977661133
1929,34.861724853515625
1930,35.5926399230957
1931,36.08811950683594
1932,37.809268951416016
1933,36.4096565246582
1934,36.185829162597656
1935,35.80434036254883
1936,36.858421325683594
1937,36.25962829589844
1938,35.623558044433594
1939,37.612449645996094
1940,35.06725311279297
1941,36.30632019042969
1942,35.43670654296875
1943,34.994258880615234
1944,34.62714385986328
1945,35.42375946044922
1946,35.1398811340332
1947,35.757755279541016
1948,34.26067352294922
1949,36.236488342285156
1950,35.98318099975586
1951,35.78179931640625
1952,36.034461975097656
1953,36.6667594909668
1954,36.89809036254883
1955,35.44255828857422
1956,35.47846984863281
1957,34.57526397705078
1958,35.34313201904297
1959,38.01726531982422
1960,36.15678024291992
1961,34.594390869140625
1962,36.30918884277344
1963,36.887271881103516
1964,37.05194854736328
1965,36.86662673950195
1966,37.04584503173828
1967,35.48573303222656
1968,37.38949203491211
1969,35.60112762451172
1970,36.10601043701172
1971,37.915199279785156
1972,37.212432861328125
1973,37.35259246826172
1974,38.05360412597656
1975,37.60169219970703
1976,37.24436569213867
1977,36.711036682128906
1978,36.4364013671875
1979,38.024879455566406
1980,38.249324798583984
1981,37.167755126953125
1982,37.44953918457031
1983,37.64870071411133
1984,39.002933502197266
1985,36.53375244140625
1986,36.96251678466797
1987,35.809776306152344
1988,38.331565856933594
1989,35.6839485168457
1990,37.66371154785156
1991,37.58794403076172
1992,36.279754638671875
1993,37.78038787841797
1994,37.67082977294922
1995,37.18400192260742
1996,37.027305603027344
1997,37.3501091003418
1998,36.794639587402344
1999,39.02067947387695
2000,36.9420166015625
2001,37.37623596191406
2002,35.956809997558594
2003,37.25117492675781
2004,37.8162727355957
2005,38.66657257080078
2006,37.61943817138672
2007,38.725563049316406
2008,38.101959228515625
2009,36.433509826660156
