year,data
1901,-7.67241907119751
1902,-7.862711429595947
1903,-7.910782814025879
1904,-8.155729293823242
1905,-7.547311305999756
1906,-7.684103488922119
1907,-8.413553237915039
1908,-7.790929317474365
1909,-8.23930549621582
1910,-7.774611473083496
1911,-8.114446640014648
1912,-7.885402679443359
1913,-7.987940311431885
1914,-7.965937614440918
1915,-7.144039154052734
1916,-8.132978439331055
1917,-8.499914169311523
1918,-8.204662322998047
1919,-8.035985946655273
1920,-7.830679893493652
1921,-7.685777187347412
1922,-8.334989547729492
1923,-8.022125244140625
1924,-7.574568271636963
1925,-7.951625823974609
1926,-7.792789459228516
1927,-7.961727142333984
1928,-7.237975120544434
1929,-8.123651504516602
1930,-7.302305698394775
1931,-6.646339416503906
1932,-7.821688652038574
1933,-8.693134307861328
1934,-7.964327335357666
1935,-8.166967391967773
1936,-8.59422492980957
1937,-7.3392534255981445
1938,-6.856348991394043
1939,-7.669107913970947
1940,-6.799381256103516
1941,-7.233104705810547
1942,-7.097812652587891
1943,-7.2231879234313965
1944,-6.603946685791016
1945,-7.646345615386963
1946,-7.739509582519531
1947,-7.161524295806885
1948,-7.659969329833984
1949,-7.696352958679199
1950,-8.517829895019531
1951,-7.903929710388184
1952,-6.680769920349121
1953,-6.7539520263671875
1954,-7.334064483642578
1955,-7.586000919342041
1956,-8.27430534362793
1957,-7.763300895690918
1958,-6.903257846832275
1959,-7.8713836669921875
1960,-6.951033115386963
1961,-7.946412086486816
1962,-7.465360164642334
1963,-7.363328456878662
1964,-8.241130828857422
1965,-8.078269958496094
1966,-7.83267879486084
1967,-7.973592281341553
1968,-7.3681206703186035
1969,-7.0392913818359375
1970,-7.720573425292969
1971,-7.469780921936035
1972,-9.525187492370605
1973,-6.853341579437256
1974,-8.428787231445312
1975,-7.621856689453125
1976,-7.588895320892334
1977,-6.557257652282715
1978,-7.993335723876953
1979,-7.845717430114746
1980,-7.049171447753906
1981,-5.506665229797363
1982,-8.5137939453125
1983,-7.463536262512207
1984,-7.414198398590088
1985,-7.432916164398193
1986,-7.71035099029541
1987,-6.4537835121154785
1988,-6.610030174255371
1989,-7.706485748291016
1990,-7.6779985427856445
1991,-7.095147132873535
1992,-7.697887420654297
1993,-6.986419677734375
1994,-6.888780117034912
1995,-6.850322723388672
1996,-7.337457180023193
1997,-6.88342809677124
1998,-5.186192989349365
1999,-5.975519180297852
2000,-6.7265448570251465
2001,-5.930727958679199
2002,-6.852164268493652
2003,-6.402592658996582
2004,-7.529717445373535
2005,-5.863758563995361
2006,-5.543209552764893
2007,-6.819293975830078
2008,-7.2008957862854
2009,-6.997011661529541
