year,data
1901,44.84402084350586
1902,42.08814239501953
1903,49.624393463134766
1904,47.10419464111328
1905,48.137699127197266
1906,46.95527267456055
1907,49.45805358886719
1908,48.533382415771484
1909,50.29384994506836
1910,47.132469177246094
1911,52.30064010620117
1912,48.06343460083008
1913,46.422203063964844
1914,49.147335052490234
1915,53.12928009033203
1916,46.29998779296875
1917,48.31675720214844
1918,51.84043502807617
1919,46.981529235839844
1920,48.1872444152832
1921,47.694705963134766
1922,48.27124786376953
1923,48.2552604675293
1924,48.01485824584961
1925,45.021575927734375
1926,48.46418762207031
1927,46.641357421875
1928,45.869205474853516
1929,45.744895935058594
1930,46.859439849853516
1931,50.14558410644531
1932,49.71029281616211
1933,46.999168395996094
1934,49.669918060302734
1935,49.66817092895508
1936,45.27329635620117
1937,50.417457580566406
1938,50.64114761352539
1939,47.55038833618164
1940,46.32978057861328
1941,47.325584411621094
1942,46.578208923339844
1943,47.25794219970703
1944,47.10919952392578
1945,47.36799621582031
1946,49.31330108642578
1947,49.474308013916016
1948,50.991188049316406
1949,52.9824104309082
1950,47.85285186767578
1951,50.26053237915039
1952,50.395240783691406
1953,49.3369026184082
1954,53.83406448364258
1955,47.02214431762695
1956,49.167518615722656
1957,48.124549865722656
1958,47.51021957397461
1959,51.02973937988281
1960,47.71288299560547
1961,50.613956451416016
1962,48.5892333984375
1963,46.72063064575195
1964,49.854488372802734
1965,46.3264045715332
1966,45.10172653198242
1967,46.50550079345703
1968,46.64048767089844
1969,47.8499870300293
1970,49.90866470336914
1971,46.4954833984375
1972,45.94453811645508
1973,53.15662384033203
1974,48.332984924316406
1975,50.14952850341797
1976,46.78107452392578
1977,47.792816162109375
1978,45.41615676879883
1979,45.89554214477539
1980,48.94154739379883
1981,48.61516189575195
1982,47.117164611816406
1983,50.77267074584961
1984,48.21627426147461
1985,49.58598709106445
1986,44.35249328613281
1987,48.1347770690918
1988,46.6324462890625
1989,46.0009651184082
1990,50.36335754394531
1991,47.55094909667969
1992,44.89451599121094
1993,49.183616638183594
1994,50.56507110595703
1995,48.853004455566406
1996,47.81175231933594
1997,46.13300704956055
1998,53.414222717285156
1999,50.463348388671875
2000,47.419090270996094
2001,48.60021209716797
2002,49.03786849975586
2003,48.076271057128906
2004,46.174171447753906
2005,47.30992889404297
2006,46.01183319091797
2007,45.41006851196289
2008,50.31479263305664
2009,45.697540283203125
