year,data
1901,6.154131889343262
1902,6.222486972808838
1903,5.993503570556641
1904,6.005490303039551
1905,5.871315956115723
1906,5.965019226074219
1907,5.997979640960693
1908,6.092247009277344
1909,6.071833610534668
1910,5.693055629730225
1911,5.851863384246826
1912,5.837357521057129
1913,5.777303218841553
1914,6.312807559967041
1915,5.945305824279785
1916,6.011174201965332
1917,5.8387932777404785
1918,5.844106197357178
1919,6.107400417327881
1920,6.089724063873291
1921,6.102081298828125
1922,6.234221458435059
1923,6.306292533874512
1924,6.2945075035095215
1925,6.179028511047363
1926,6.372322082519531
1927,6.191729545593262
1928,6.233308792114258
1929,5.940709590911865
1930,6.085324764251709
1931,5.981201171875
1932,6.5299787521362305
1933,6.268707275390625
1934,5.916762351989746
1935,6.4012346267700195
1936,5.7847771644592285
1937,6.145955562591553
1938,6.491925239562988
1939,6.5785698890686035
1940,6.6074090003967285
1941,6.932844638824463
1942,6.6453423500061035
1943,6.592004299163818
1944,6.281384468078613
1945,6.4503173828125
1946,6.882668972015381
1947,6.237058162689209
1948,6.817835330963135
1949,6.490711212158203
1950,6.120419979095459
1951,6.243623733520508
1952,5.998093605041504
1953,6.535233497619629
1954,5.810719966888428
1955,6.247254848480225
1956,5.765574932098389
1957,5.795629501342773
1958,6.447841644287109
1959,6.410852909088135
1960,6.236414909362793
1961,6.508203029632568
1962,6.218542098999023
1963,6.480631351470947
1964,6.094582557678223
1965,6.137479782104492
1966,6.1948394775390625
1967,5.791807174682617
1968,6.092263221740723
1969,5.689573287963867
1970,5.920914649963379
1971,6.227179050445557
1972,6.1178436279296875
1973,6.5324273109436035
1974,6.003230094909668
1975,6.527014255523682
1976,5.856526851654053
1977,6.246291637420654
1978,6.462607383728027
1979,6.467792510986328
1980,6.408343315124512
1981,6.430367946624756
1982,6.666129112243652
1983,6.45279598236084
1984,5.965532302856445
1985,6.206526756286621
1986,6.359656810760498
1987,6.60791540145874
1988,6.745822906494141
1989,6.709231376647949
1990,7.031419277191162
1991,6.638143062591553
1992,6.4448699951171875
1993,6.484196662902832
1994,7.068220615386963
1995,6.9072442054748535
1996,6.496102333068848
1997,7.102317810058594
1998,7.611979007720947
1999,7.4218268394470215
2000,6.918226718902588
2001,7.27814245223999
2002,7.479504585266113
2003,7.056612491607666
2004,7.519412040710449
2005,7.010123252868652
2006,7.400103569030762
2007,7.726293087005615
2008,7.179437160491943
2009,7.249917030334473
