year,data
1901,65.87260437011719
1902,64.46797943115234
1903,66.62484741210938
1904,57.147727966308594
1905,67.87602996826172
1906,63.50175094604492
1907,70.02024841308594
1908,59.30084991455078
1909,68.9850082397461
1910,86.32682800292969
1911,64.40771484375
1912,69.86720275878906
1913,72.59915161132812
1914,76.0008773803711
1915,77.74208068847656
1916,76.66888427734375
1917,69.87107849121094
1918,65.02156829833984
1919,72.24749755859375
1920,67.85804748535156
1921,45.61130142211914
1922,73.40296936035156
1923,74.84262084960938
1924,66.799072265625
1925,68.24711608886719
1926,70.51436614990234
1927,75.18671417236328
1928,71.61857604980469
1929,58.51679611206055
1930,86.27677917480469
1931,71.87512969970703
1932,70.72157287597656
1933,62.23345947265625
1934,67.51545715332031
1935,76.6986083984375
1936,73.68083190917969
1937,78.1382064819336
1938,61.7352409362793
1939,77.78075408935547
1940,73.78678894042969
1941,74.36901092529297
1942,62.58903884887695
1943,61.73142623901367
1944,63.42889404296875
1945,53.1752815246582
1946,64.87373352050781
1947,61.785423278808594
1948,63.23029327392578
1949,54.72662353515625
1950,67.83903503417969
1951,82.94114685058594
1952,74.26094055175781
1953,49.45111083984375
1954,66.60884857177734
1955,64.86297607421875
1956,63.625823974609375
1957,63.53521728515625
1958,78.0914077758789
1959,69.90898132324219
1960,86.26934814453125
1961,65.22724914550781
1962,62.828224182128906
1963,70.46138000488281
1964,61.63513946533203
1965,81.02381896972656
1966,80.35252380371094
1967,60.44533157348633
1968,74.55652618408203
1969,69.6750259399414
1970,66.21263885498047
1971,65.01630401611328
1972,72.52146911621094
1973,59.64130401611328
1974,74.93423461914062
1975,69.24032592773438
1976,65.87828063964844
1977,82.52574920654297
1978,69.910888671875
1979,82.49491882324219
1980,69.72941589355469
1981,77.25343322753906
1982,75.28776550292969
1983,67.0963134765625
1984,76.37169647216797
1985,60.19873809814453
1986,74.16432189941406
1987,73.04933166503906
1988,75.97077178955078
1989,54.701576232910156
1990,64.53803253173828
1991,60.86359786987305
1992,70.66209411621094
1993,71.52775573730469
1994,78.1999740600586
1995,73.39352416992188
1996,68.79644012451172
1997,64.64130401611328
1998,66.47551727294922
1999,80.29347229003906
2000,81.01875305175781
2001,72.0804672241211
2002,77.25939178466797
2003,59.12407302856445
2004,65.97796630859375
2005,56.17546463012695
2006,67.41787719726562
2007,68.76099395751953
2008,80.86787414550781
2009,68.28132629394531
