year,data
1901,20.110502243041992
1902,20.60552406311035
1903,20.79950714111328
1904,18.25412368774414
1905,20.450363159179688
1906,20.00310516357422
1907,21.15892219543457
1908,22.224523544311523
1909,17.59868049621582
1910,17.761646270751953
1911,20.035118103027344
1912,18.430410385131836
1913,20.9783878326416
1914,20.10637855529785
1915,22.277175903320312
1916,18.647899627685547
1917,17.385478973388672
1918,17.62706184387207
1919,21.005064010620117
1920,20.058401107788086
1921,20.245847702026367
1922,20.73507308959961
1923,18.7259521484375
1924,18.06440544128418
1925,18.2286376953125
1926,20.502119064331055
1927,17.495750427246094
1928,21.746877670288086
1929,16.95803451538086
1930,18.767187118530273
1931,18.258769989013672
1932,18.212621688842773
1933,18.334754943847656
1934,19.562305450439453
1935,17.815601348876953
1936,17.472013473510742
1937,18.02875518798828
1938,20.206809997558594
1939,18.589435577392578
1940,19.008577346801758
1941,20.625764846801758
1942,20.631486892700195
1943,17.618541717529297
1944,16.180706024169922
1945,18.967561721801758
1946,22.872331619262695
1947,20.935400009155273
1948,18.519691467285156
1949,18.825000762939453
1950,18.655235290527344
1951,17.576519012451172
1952,18.312265396118164
1953,20.809358596801758
1954,19.948307037353516
1955,16.494159698486328
1956,20.18463134765625
1957,19.888948440551758
1958,22.234119415283203
1959,20.5213623046875
1960,21.98703384399414
1961,20.290477752685547
1962,18.721420288085938
1963,21.67496109008789
1964,21.209030151367188
1965,18.88228988647461
1966,20.52315330505371
1967,19.59507179260254
1968,18.78192901611328
1969,22.19278335571289
1970,19.35188102722168
1971,19.238727569580078
1972,19.466304779052734
1973,19.692419052124023
1974,16.68926429748535
1975,15.793858528137207
1976,18.604808807373047
1977,19.373226165771484
1978,19.895116806030273
1979,21.512588500976562
1980,19.27304458618164
1981,19.1822509765625
1982,19.124977111816406
1983,19.386249542236328
1984,17.795711517333984
1985,20.01603889465332
1986,19.19342803955078
1987,22.852985382080078
1988,19.208553314208984
1989,19.448163986206055
1990,21.95516014099121
1991,17.52298355102539
1992,20.50523567199707
1993,22.978853225708008
1994,20.659330368041992
1995,18.091161727905273
1996,18.032711029052734
1997,18.086313247680664
1998,18.6163272857666
1999,19.263551712036133
2000,19.761817932128906
2001,20.67582130432129
2002,22.93423843383789
2003,21.697093963623047
2004,20.134471893310547
2005,18.497013092041016
2006,20.092227935791016
2007,19.508922576904297
2008,17.964712142944336
2009,20.726619720458984
