year,data
1901,5.256679058074951
1902,5.592187881469727
1903,4.613409519195557
1904,5.444408416748047
1905,4.767386436462402
1906,5.408718585968018
1907,4.420762538909912
1908,4.198662757873535
1909,5.625237941741943
1910,5.191020965576172
1911,4.644408226013184
1912,4.930727481842041
1913,5.683825969696045
1914,5.921901226043701
1915,6.349036693572998
1916,4.931593894958496
1917,5.667794227600098
1918,4.52727746963501
1919,4.732913970947266
1920,4.504668235778809
1921,5.622156143188477
1922,6.016598701477051
1923,5.953076362609863
1924,5.3286027908325195
1925,6.490403175354004
1926,5.378812313079834
1927,5.181888580322266
1928,4.186879634857178
1929,4.145456790924072
1930,4.93208122253418
1931,4.484749794006348
1932,5.793343544006348
1933,4.652050971984863
1934,3.9126670360565186
1935,5.092709064483643
1936,5.353569030761719
1937,4.656050682067871
1938,5.413108825683594
1939,5.521810531616211
1940,5.977402210235596
1941,5.345439434051514
1942,4.87025260925293
1943,4.682455062866211
1944,6.055421352386475
1945,4.362094879150391
1946,5.109545707702637
1947,5.372343063354492
1948,6.069584369659424
1949,4.524495601654053
1950,4.193615436553955
1951,5.31939172744751
1952,4.842658042907715
1953,5.556593894958496
1954,3.863046646118164
1955,5.985916614532471
1956,4.7499775886535645
1957,5.352526664733887
1958,5.2569169998168945
1959,4.524988651275635
1960,4.317346572875977
1961,6.329656600952148
1962,6.662497043609619
1963,6.627413272857666
1964,4.925724983215332
1965,6.1973090171813965
1966,5.755030632019043
1967,5.920411109924316
1968,5.375549793243408
1969,3.7125027179718018
1970,5.470128059387207
1971,6.283327579498291
1972,4.3090128898620605
1973,5.971345901489258
1974,5.1717939376831055
1975,6.513188362121582
1976,4.543745994567871
1977,5.966043472290039
1978,5.888896465301514
1979,6.114666938781738
1980,5.628348350524902
1981,6.692261695861816
1982,6.182070255279541
1983,7.572638034820557
1984,4.823390960693359
1985,5.432726860046387
1986,5.64777946472168
1987,5.368938446044922
1988,6.28421688079834
1989,6.638528347015381
1990,6.835758209228516
1991,6.639808654785156
1992,5.879254341125488
1993,4.878104209899902
1994,5.566123008728027
1995,7.3341264724731445
1996,5.107630729675293
1997,6.916831016540527
1998,6.336075305938721
1999,6.995977878570557
2000,6.859245300292969
2001,6.837309837341309
2002,7.375390529632568
2003,6.215805530548096
2004,7.623091220855713
2005,7.073895454406738
2006,6.99075984954834
2007,7.341768741607666
2008,7.126988410949707
2009,6.491677761077881
