year,data
1901,127.64959716796875
1902,125.2775650024414
1903,125.5474853515625
1904,125.3236083984375
1905,123.46720123291016
1906,124.28126525878906
1907,128.94345092773438
1908,129.30982971191406
1909,127.37007904052734
1910,126.03602600097656
1911,125.8706283569336
1912,125.4942626953125
1913,130.11480712890625
1914,125.67393493652344
1915,129.56297302246094
1916,129.38967895507812
1917,130.92935180664062
1918,129.52227783203125
1919,128.03514099121094
1920,125.79142761230469
1921,129.25552368164062
1922,126.15071105957031
1923,124.33251953125
1924,124.12248229980469
1925,128.3710174560547
1926,122.1374740600586
1927,130.71530151367188
1928,130.99887084960938
1929,127.91617584228516
1930,121.6812515258789
1931,121.46171569824219
1932,139.49136352539062
1933,123.39082336425781
1934,130.25811767578125
1935,124.21009826660156
1936,110.018310546875
1937,111.19908142089844
1938,120.67189025878906
1939,123.88465881347656
1940,128.56202697753906
1941,124.82231140136719
1942,104.66719818115234
1943,129.47933959960938
1944,123.54647064208984
1945,118.92027282714844
1946,126.7149429321289
1947,121.04317474365234
1948,121.978759765625
1949,163.53903198242188
1950,116.6407241821289
1951,121.3473892211914
1952,118.2608642578125
1953,140.9154052734375
1954,124.97434997558594
1955,124.27254486083984
1956,124.45426940917969
1957,115.93631744384766
1958,126.73069763183594
1959,126.8479995727539
1960,120.25727844238281
1961,128.469482421875
1962,124.80279541015625
1963,122.01165771484375
1964,117.16522216796875
1965,118.60977935791016
1966,112.72142028808594
1967,122.4252700805664
1968,123.28599548339844
1969,118.29405212402344
1970,139.6074676513672
1971,139.29901123046875
1972,131.95657348632812
1973,148.9771270751953
1974,126.5706787109375
1975,141.69725036621094
1976,135.2711944580078
1977,131.33999633789062
1978,122.05509185791016
1979,100.93424987792969
1980,118.72503662109375
1981,142.9326934814453
1982,136.73153686523438
1983,115.07657623291016
1984,133.73463439941406
1985,100.03536987304688
1986,127.62129211425781
1987,115.36572265625
1988,117.9847412109375
1989,111.99147033691406
1990,115.83036804199219
1991,104.14006042480469
1992,110.10543060302734
1993,133.8056640625
1994,135.22471618652344
1995,120.09611511230469
1996,130.3594512939453
1997,124.5433349609375
1998,115.75831604003906
1999,140.10789489746094
2000,119.5569076538086
2001,125.84735107421875
2002,132.84756469726562
2003,142.96290588378906
2004,140.77719116210938
2005,129.91905212402344
2006,147.76478576660156
2007,141.40545654296875
2008,140.2363739013672
2009,127.8708724975586
