year,data
1901,19.683597564697266
1902,19.67481803894043
1903,19.518356323242188
1904,19.434293746948242
1905,19.630037307739258
1906,19.544946670532227
1907,19.513916015625
1908,19.508731842041016
1909,19.410968780517578
1910,19.14597511291504
1911,19.48540496826172
1912,19.722118377685547
1913,19.695194244384766
1914,19.726722717285156
1915,19.8957576751709
1916,19.28605079650879
1917,19.435039520263672
1918,19.814910888671875
1919,19.810884475708008
1920,19.43749237060547
1921,19.093786239624023
1922,19.7896785736084
1923,19.70541763305664
1924,19.701473236083984
1925,19.73833656311035
1926,20.10468864440918
1927,20.04443359375
1928,20.06133270263672
1929,20.001176834106445
1930,19.917015075683594
1931,20.0
1932,19.902254104614258
1933,19.806909561157227
1934,19.82203483581543
1935,19.86033821105957
1936,19.929357528686523
1937,20.242610931396484
1938,20.146156311035156
1939,20.21401596069336
1940,20.4533634185791
1941,20.811464309692383
1942,20.79627227783203
1943,21.15608024597168
1944,21.18286895751953
1945,20.89647102355957
1946,20.37354278564453
1947,20.041202545166016
1948,19.854389190673828
1949,19.528629302978516
1950,19.151657104492188
1951,19.578893661499023
1952,19.241683959960938
1953,19.63692855834961
1954,19.197994232177734
1955,19.1845760345459
1956,18.99416732788086
1957,19.817562103271484
1958,19.960784912109375
1959,19.760337829589844
1960,19.78489112854004
1961,20.132869720458984
1962,20.05936050415039
1963,20.213451385498047
1964,19.855915069580078
1965,20.228328704833984
1966,20.002120971679688
1967,19.6494197845459
1968,19.71891975402832
1969,20.502302169799805
1970,19.883365631103516
1971,19.593191146850586
1972,20.428396224975586
1973,19.74794578552246
1974,19.026309967041016
1975,19.106477737426758
1976,19.519962310791016
1977,19.69792938232422
1978,19.557851791381836
1979,19.808366775512695
1980,19.892114639282227
1981,19.468042373657227
1982,20.03093147277832
1983,20.612773895263672
1984,19.623376846313477
1985,19.385719299316406
1986,19.607654571533203
1987,20.27712059020996
1988,19.743406295776367
1989,19.435304641723633
1990,19.694366455078125
1991,19.82955551147461
1992,20.12548065185547
1993,19.85054588317871
1994,19.971752166748047
1995,20.026491165161133
1996,19.47945785522461
1997,20.34784698486328
1998,20.627700805664062
1999,19.57425308227539
2000,19.770078659057617
2001,19.690473556518555
2002,20.034095764160156
2003,19.983482360839844
2004,20.000165939331055
2005,19.871337890625
2006,19.96095085144043
2007,19.525497436523438
2008,19.710901260375977
2009,20.12508201599121
