year,data
1901,31.954233169555664
1902,33.69655990600586
1903,33.420188903808594
1904,33.60478210449219
1905,34.30616760253906
1906,33.57074737548828
1907,33.55007553100586
1908,34.07636260986328
1909,33.32854461669922
1910,32.70525360107422
1911,32.571617126464844
1912,33.65576934814453
1913,33.705570220947266
1914,33.11030197143555
1915,34.56824493408203
1916,33.723487854003906
1917,33.011558532714844
1918,33.48910140991211
1919,34.46561050415039
1920,31.91616439819336
1921,32.68341827392578
1922,35.065528869628906
1923,34.817779541015625
1924,33.72711944580078
1925,34.39460754394531
1926,33.82175827026367
1927,35.2085075378418
1928,34.45020294189453
1929,33.594947814941406
1930,33.29179763793945
1931,33.21140670776367
1932,33.9578857421875
1933,33.26353073120117
1934,31.905529022216797
1935,34.11161804199219
1936,33.187747955322266
1937,33.61497497558594
1938,33.46385955810547
1939,33.87091827392578
1940,34.036495208740234
1941,33.950870513916016
1942,35.06417465209961
1943,34.927886962890625
1944,34.743648529052734
1945,34.284969329833984
1946,34.02708435058594
1947,33.7999153137207
1948,35.75756072998047
1949,34.110496520996094
1950,34.68488311767578
1951,34.03572463989258
1952,35.15038299560547
1953,35.038108825683594
1954,33.89266586303711
1955,34.594974517822266
1956,35.87916946411133
1957,35.33945083618164
1958,35.060794830322266
1959,34.405330657958984
1960,34.74921798706055
1961,35.83833694458008
1962,35.406219482421875
1963,34.66392135620117
1964,33.701255798339844
1965,35.1650505065918
1966,36.44522476196289
1967,33.57490158081055
1968,34.21924591064453
1969,33.70124435424805
1970,34.953983306884766
1971,34.75762176513672
1972,33.48124694824219
1973,34.876014709472656
1974,33.488704681396484
1975,34.35246276855469
1976,32.42043685913086
1977,35.897640228271484
1978,35.26991271972656
1979,34.59218978881836
1980,34.05751419067383
1981,34.609413146972656
1982,35.398895263671875
1983,35.57658004760742
1984,33.29030227661133
1985,33.97359848022461
1986,33.788848876953125
1987,32.95808029174805
1988,34.04196548461914
1989,35.255653381347656
1990,35.781822204589844
1991,33.83451461791992
1992,33.65009307861328
1993,33.39287185668945
1994,35.480804443359375
1995,34.66145324707031
1996,34.20579528808594
1997,35.24135208129883
1998,35.895912170410156
1999,33.63213348388672
2000,35.48278045654297
2001,35.198455810546875
2002,34.58070755004883
2003,33.985496520996094
2004,34.717491149902344
2005,33.84382629394531
2006,34.916893005371094
2007,36.8585205078125
2008,36.22579574584961
2009,34.673194885253906
