year,data
1901,-6.590117454528809
1902,-7.79366397857666
1903,-6.5683112144470215
1904,-6.625694274902344
1905,-6.634809970855713
1906,-6.315842628479004
1907,-7.14214563369751
1908,-7.0903191566467285
1909,-6.975405693054199
1910,-6.868948936462402
1911,-6.953522682189941
1912,-7.755959510803223
1913,-6.837758541107178
1914,-6.659031867980957
1915,-7.392226219177246
1916,-7.172493934631348
1917,-6.840364933013916
1918,-6.8700852394104
1919,-7.326507568359375
1920,-6.40902853012085
1921,-6.241768836975098
1922,-6.780220985412598
1923,-6.531639099121094
1924,-6.396426677703857
1925,-6.154781341552734
1926,-6.397071838378906
1927,-6.6728010177612305
1928,-6.820307731628418
1929,-7.208807468414307
1930,-6.568521976470947
1931,-6.786772727966309
1932,-5.853846549987793
1933,-7.242190361022949
1934,-5.722938060760498
1935,-6.3348236083984375
1936,-6.134361267089844
1937,-6.208897590637207
1938,-5.671358585357666
1939,-5.921089172363281
1940,-6.768257141113281
1941,-7.5742340087890625
1942,-6.732176780700684
1943,-5.253798007965088
1944,-5.70082426071167
1945,-6.497187614440918
1946,-7.048008918762207
1947,-6.505027770996094
1948,-5.561202526092529
1949,-6.1273369789123535
1950,-6.782192230224609
1951,-6.293537616729736
1952,-7.321909427642822
1953,-5.880745887756348
1954,-6.371822834014893
1955,-6.888663291931152
1956,-6.883383750915527
1957,-6.659445762634277
1958,-7.512992858886719
1959,-5.97869873046875
1960,-7.176412105560303
1961,-6.291990756988525
1962,-5.762416362762451
1963,-6.378952980041504
1964,-7.057346343994141
1965,-7.192076206207275
1966,-7.654925346374512
1967,-5.574078559875488
1968,-6.873921871185303
1969,-7.804028511047363
1970,-6.7700700759887695
1971,-6.22001314163208
1972,-6.885852813720703
1973,-6.13992977142334
1974,-6.8805365562438965
1975,-5.397440433502197
1976,-7.112438201904297
1977,-6.823492527008057
1978,-6.523975372314453
1979,-7.220139980316162
1980,-6.579744815826416
1981,-5.324734687805176
1982,-6.430697441101074
1983,-5.261590957641602
1984,-6.35382080078125
1985,-6.658499717712402
1986,-6.102686405181885
1987,-7.468303680419922
1988,-5.578286170959473
1989,-5.360856056213379
1990,-5.293821334838867
1991,-5.511684417724609
1992,-6.218836784362793
1993,-5.81365442276001
1994,-6.1515607833862305
1995,-4.4028143882751465
1996,-5.910768508911133
1997,-5.56716251373291
1998,-6.645029544830322
1999,-6.044171333312988
2000,-5.739991188049316
2001,-5.734502792358398
2002,-5.433640956878662
2003,-5.109768867492676
2004,-5.808899879455566
2005,-4.6981520652771
2006,-5.990131855010986
2007,-4.25595235824585
2008,-4.581952095031738
2009,-5.787852764129639
