year,data
1901,142.7075958251953
1902,130.59243774414062
1903,126.4500732421875
1904,144.0801544189453
1905,138.6259765625
1906,129.8655548095703
1907,134.51400756835938
1908,160.8249969482422
1909,143.94891357421875
1910,151.47891235351562
1911,121.54730224609375
1912,135.2235565185547
1913,134.93617248535156
1914,134.59390258789062
1915,145.10220336914062
1916,144.7509765625
1917,136.99307250976562
1918,125.37532043457031
1919,123.1678237915039
1920,123.98907470703125
1921,124.80763244628906
1922,132.411865234375
1923,143.93655395507812
1924,133.25633239746094
1925,131.1084747314453
1926,142.44786071777344
1927,135.0087890625
1928,118.80216979980469
1929,117.02972412109375
1930,126.11722564697266
1931,121.26890563964844
1932,131.9814453125
1933,132.57139587402344
1934,141.59487915039062
1935,151.85391235351562
1936,127.6399917602539
1937,140.74884033203125
1938,155.6913604736328
1939,140.02273559570312
1940,125.3643569946289
1941,139.95794677734375
1942,159.99807739257812
1943,135.35696411132812
1944,138.89012145996094
1945,151.18519592285156
1946,140.40676879882812
1947,134.31817626953125
1948,139.5246124267578
1949,146.64358520507812
1950,147.40914916992188
1951,154.3682098388672
1952,141.2450714111328
1953,154.90277099609375
1954,134.61085510253906
1955,136.00186157226562
1956,145.1945037841797
1957,130.87237548828125
1958,121.7645263671875
1959,142.1549072265625
1960,137.02426147460938
1961,151.78707885742188
1962,139.27198791503906
1963,141.35504150390625
1964,139.80882263183594
1965,138.05349731445312
1966,151.29318237304688
1967,127.93270111083984
1968,124.75279235839844
1969,145.48818969726562
1970,153.7577362060547
1971,140.8809814453125
1972,135.05311584472656
1973,143.144287109375
1974,140.4010467529297
1975,147.26939392089844
1976,139.115234375
1977,119.07867431640625
1978,137.17919921875
1979,117.71295166015625
1980,141.98171997070312
1981,131.5220947265625
1982,136.04600524902344
1983,132.9357147216797
1984,133.17230224609375
1985,136.12808227539062
1986,130.54104614257812
1987,125.7089614868164
1988,144.72274780273438
1989,134.36209106445312
1990,128.17724609375
1991,129.56617736816406
1992,113.17198181152344
1993,117.18333435058594
1994,143.49929809570312
1995,140.19285583496094
1996,143.27041625976562
1997,128.07632446289062
1998,126.33935546875
1999,150.1880645751953
2000,150.49856567382812
2001,139.7904052734375
2002,144.70748901367188
2003,132.579833984375
2004,134.04051208496094
2005,144.4329833984375
2006,159.96151733398438
2007,140.1548309326172
2008,146.5184783935547
2009,147.60101318359375
