year,data
1901,26.433719635009766
1902,26.346149444580078
1903,25.915231704711914
1904,25.71200942993164
1905,26.784347534179688
1906,26.814355850219727
1907,25.926822662353516
1908,26.014846801757812
1909,26.097442626953125
1910,25.8985652923584
1911,26.451330184936523
1912,26.277029037475586
1913,25.98193359375
1914,26.27944564819336
1915,26.1235294342041
1916,25.897441864013672
1917,25.76785659790039
1918,26.058368682861328
1919,26.450103759765625
1920,26.204166412353516
1921,25.92009925842285
1922,26.143136978149414
1923,25.8331241607666
1924,26.025875091552734
1925,25.868032455444336
1926,26.416702270507812
1927,26.045516967773438
1928,26.171884536743164
1929,26.10115623474121
1930,26.087078094482422
1931,26.415929794311523
1932,26.2072811126709
1933,26.290721893310547
1934,25.99072265625
1935,26.61067771911621
1936,26.24481773376465
1937,26.344396591186523
1938,25.845867156982422
1939,25.785120010375977
1940,26.15987205505371
1941,26.977275848388672
1942,26.21026039123535
1943,25.839181900024414
1944,26.210224151611328
1945,26.194082260131836
1946,26.352558135986328
1947,26.603954315185547
1948,26.341388702392578
1949,26.324230194091797
1950,26.123703002929688
1951,26.114215850830078
1952,26.0878849029541
1953,26.09747886657715
1954,26.09061622619629
1955,25.590755462646484
1956,25.61081886291504
1957,26.26267433166504
1958,26.296955108642578
1959,26.410924911499023
1960,26.3629207611084
1961,25.98004150390625
1962,25.881301879882812
1963,25.905847549438477
1964,25.997478485107422
1965,26.099300384521484
1966,26.55255699157715
1967,25.927520751953125
1968,26.184871673583984
1969,26.325000762939453
1970,26.122690200805664
1971,25.53606414794922
1972,26.21999168395996
1973,26.29058265686035
1974,25.802276611328125
1975,26.025211334228516
1976,25.78631019592285
1977,26.033405303955078
1978,26.441211700439453
1979,26.89369773864746
1980,26.57815170288086
1981,25.899860382080078
1982,25.935293197631836
1983,26.303115844726562
1984,25.994293212890625
1985,26.04751205444336
1986,26.026050567626953
1987,26.477590560913086
1988,26.153430938720703
1989,26.05259132385254
1990,26.39583396911621
1991,26.89089584350586
1992,26.482458114624023
1993,26.5107479095459
1994,26.576644897460938
1995,26.488235473632812
1996,26.144012451171875
1997,26.59478187561035
1998,27.290334701538086
1999,26.14352035522461
2000,26.343032836914062
2001,26.541912078857422
2002,26.574020385742188
2003,26.512569427490234
2004,26.43963623046875
2005,26.640615463256836
2006,26.558475494384766
2007,26.28757095336914
2008,26.154062271118164
2009,26.599685668945312
