year,data
1901,11.616242408752441
1902,10.992790222167969
1903,10.629453659057617
1904,10.614758491516113
1905,10.865012168884277
1906,11.072391510009766
1907,10.237256050109863
1908,10.226759910583496
1909,11.423685073852539
1910,11.043935775756836
1911,10.004029273986816
1912,10.86363410949707
1913,10.400529861450195
1914,10.858609199523926
1915,11.648727416992188
1916,11.954092025756836
1917,11.544210433959961
1918,11.406637191772461
1919,11.647836685180664
1920,10.528138160705566
1921,10.343851089477539
1922,11.574003219604492
1923,11.965648651123047
1924,11.329919815063477
1925,11.648855209350586
1926,11.760432243347168
1927,11.840118408203125
1928,11.110644340515137
1929,10.965988159179688
1930,12.031848907470703
1931,11.34145450592041
1932,11.234689712524414
1933,10.199448585510254
1934,11.308269500732422
1935,11.759669303894043
1936,11.576441764831543
1937,12.19395637512207
1938,11.490394592285156
1939,11.83023738861084
1940,11.511259078979492
1941,11.24781608581543
1942,11.088422775268555
1943,10.994508743286133
1944,11.482442855834961
1945,11.008502960205078
1946,11.513697624206543
1947,12.162362098693848
1948,10.755216598510742
1949,10.596607208251953
1950,11.131891250610352
1951,11.593384742736816
1952,12.136153221130371
1953,10.697710037231445
1954,11.635072708129883
1955,12.629664421081543
1956,10.705513000488281
1957,11.720017433166504
1958,11.832357406616211
1959,10.78127670288086
1960,12.15226936340332
1961,11.69469928741455
1962,12.675466537475586
1963,11.822349548339844
1964,10.79242992401123
1965,11.171628952026367
1966,12.932146072387695
1967,10.616687774658203
1968,11.491751670837402
1969,11.481489181518555
1970,12.1475191116333
1971,11.436090469360352
1972,10.660347938537598
1973,11.084859848022461
1974,11.183121681213379
1975,11.230110168457031
1976,10.598939895629883
1977,11.492471694946289
1978,11.62114143371582
1979,12.184860229492188
1980,11.271862030029297
1981,12.064652442932129
1982,10.96007251739502
1983,11.133163452148438
1984,11.39491081237793
1985,11.338189125061035
1986,11.693023681640625
1987,11.12024974822998
1988,11.041560173034668
1989,11.551080703735352
1990,11.442069053649902
1991,11.229410171508789
1992,10.083227157592773
1993,10.85506820678711
1994,12.194402694702148
1995,11.63435173034668
1996,11.841962814331055
1997,11.020971298217773
1998,12.311555862426758
1999,12.593575477600098
2000,11.798048973083496
2001,12.779495239257812
2002,11.77434253692627
2003,11.787510871887207
2004,11.862361907958984
2005,11.965267181396484
2006,11.89499568939209
2007,12.39516544342041
2008,12.280852317810059
2009,12.31492805480957
