year,data
1901,53.452919006347656
1902,56.9292106628418
1903,54.475257873535156
1904,51.814544677734375
1905,57.63336181640625
1906,57.778236389160156
1907,55.445030212402344
1908,54.030677795410156
1909,55.247840881347656
1910,47.45164108276367
1911,53.051292419433594
1912,56.12828826904297
1913,53.51518630981445
1914,52.873878479003906
1915,57.80670928955078
1916,53.40000534057617
1917,48.95927429199219
1918,54.04864501953125
1919,57.043792724609375
1920,56.69709014892578
1921,53.1593017578125
1922,55.15452194213867
1923,57.338897705078125
1924,52.23078155517578
1925,51.12316131591797
1926,56.56988525390625
1927,57.704345703125
1928,56.21140670776367
1929,56.85736083984375
1930,49.45903015136719
1931,52.310630798339844
1932,56.606056213378906
1933,51.264671325683594
1934,50.07986831665039
1935,55.36199951171875
1936,52.9216194152832
1937,56.740516662597656
1938,57.28954315185547
1939,52.942779541015625
1940,55.88549041748047
1941,57.24785614013672
1942,57.356788635253906
1943,52.094688415527344
1944,56.31978225708008
1945,60.54811477661133
1946,56.65497589111328
1947,55.190101623535156
1948,56.924224853515625
1949,56.01056671142578
1950,54.8505744934082
1951,56.68507766723633
1952,51.04171371459961
1953,52.58964920043945
1954,50.67522430419922
1955,52.75988006591797
1956,49.69075393676758
1957,58.32694625854492
1958,55.31757354736328
1959,56.429527282714844
1960,54.735015869140625
1961,57.87064743041992
1962,52.58452606201172
1963,50.06011199951172
1964,55.15339279174805
1965,55.38494873046875
1966,50.89459228515625
1967,54.7932243347168
1968,54.0300407409668
1969,54.47992706298828
1970,54.864418029785156
1971,54.7701416015625
1972,56.81827926635742
1973,60.564788818359375
1974,55.67407989501953
1975,58.5098876953125
1976,49.63899230957031
1977,55.485618591308594
1978,54.65704345703125
1979,59.322975158691406
1980,53.34325408935547
1981,55.81789016723633
1982,60.5897216796875
1983,60.77764129638672
1984,55.85399627685547
1985,55.76613235473633
1986,57.65016555786133
1987,54.4027099609375
1988,50.389286041259766
1989,55.43632888793945
1990,59.143402099609375
1991,59.32258987426758
1992,57.89961624145508
1993,59.04790115356445
1994,56.41740798950195
1995,56.0496940612793
1996,57.7984619140625
1997,56.68632125854492
1998,59.57609176635742
1999,53.85828399658203
2000,53.88106155395508
2001,53.623748779296875
2002,54.528594970703125
2003,56.21307373046875
2004,61.518096923828125
2005,56.341644287109375
2006,56.550628662109375
2007,54.27978515625
2008,58.17046356201172
2009,56.83655548095703
