year,data
1901,6.618748664855957
1902,6.464327335357666
1903,6.073843955993652
1904,6.149882793426514
1905,6.599617004394531
1906,6.522857666015625
1907,6.3265275955200195
1908,6.698543548583984
1909,6.037901878356934
1910,6.572676181793213
1911,6.600330352783203
1912,6.377983570098877
1913,6.598086357116699
1914,6.960701942443848
1915,6.805295467376709
1916,6.159146785736084
1917,5.6705708503723145
1918,6.365317344665527
1919,6.488106727600098
1920,6.091615676879883
1921,7.385263919830322
1922,6.656533241271973
1923,6.807251930236816
1924,6.0486555099487305
1925,6.943724632263184
1926,7.315649509429932
1927,6.5663652420043945
1928,6.933178901672363
1929,6.571394443511963
1930,6.68947696685791
1931,7.4942216873168945
1932,6.47762393951416
1933,6.762613773345947
1934,7.655951499938965
1935,6.744870662689209
1936,6.9509711265563965
1937,6.8383989334106445
1938,7.416554927825928
1939,7.144643306732178
1940,7.288551330566406
1941,7.365968227386475
1942,7.005436897277832
1943,6.997035026550293
1944,6.975191593170166
1945,6.656516075134277
1946,7.023233890533447
1947,6.850766181945801
1948,6.369116306304932
1949,6.89325475692749
1950,6.631412506103516
1951,6.411795139312744
1952,6.914981842041016
1953,7.429590702056885
1954,7.1944990158081055
1955,6.343687534332275
1956,6.39721155166626
1957,7.197104454040527
1958,7.053952693939209
1959,6.6787567138671875
1960,6.720097541809082
1961,6.492201805114746
1962,6.9103217124938965
1963,7.016024112701416
1964,6.274974346160889
1965,6.465710639953613
1966,6.281553268432617
1967,6.866044521331787
1968,6.480259895324707
1969,6.763688564300537
1970,6.5991926193237305
1971,6.234190940856934
1972,6.243402481079102
1973,6.839271545410156
1974,6.600925445556641
1975,6.209031581878662
1976,6.497175693511963
1977,7.208443641662598
1978,6.895796298980713
1979,6.694786071777344
1980,7.066892147064209
1981,7.767236232757568
1982,6.465607643127441
1983,6.950865745544434
1984,6.6931023597717285
1985,6.547123908996582
1986,7.447579383850098
1987,7.606409549713135
1988,7.204410552978516
1989,6.828049659729004
1990,7.391685485839844
1991,7.500321865081787
1992,6.96796178817749
1993,7.099425315856934
1994,7.285926818847656
1995,7.4195451736450195
1996,6.699589729309082
1997,7.05226993560791
1998,8.045992851257324
1999,7.159594535827637
2000,7.431656837463379
2001,7.572003364562988
2002,7.750372886657715
2003,7.688549041748047
2004,7.669399261474609
2005,7.8577775955200195
2006,7.886481285095215
2007,7.806058406829834
2008,6.935360908508301
2009,7.102064609527588
