year,data
1901,83.01588439941406
1902,86.23628997802734
1903,74.6151351928711
1904,83.08070373535156
1905,74.22518920898438
1906,71.07402801513672
1907,79.37161254882812
1908,79.01715087890625
1909,67.98196411132812
1910,79.52555847167969
1911,74.03408813476562
1912,74.02696228027344
1913,75.66569519042969
1914,76.72150421142578
1915,73.96481323242188
1916,79.17945861816406
1917,82.8321762084961
1918,74.6725845336914
1919,84.34188079833984
1920,80.68903350830078
1921,85.12973022460938
1922,71.93870544433594
1923,90.85572814941406
1924,68.60784912109375
1925,91.6568832397461
1926,95.23876190185547
1927,78.40782165527344
1928,80.645751953125
1929,83.19230651855469
1930,77.29844665527344
1931,87.23784637451172
1932,83.06797790527344
1933,75.91304016113281
1934,89.79376220703125
1935,73.36134338378906
1936,89.95101928710938
1937,80.24488830566406
1938,80.47309112548828
1939,91.42105102539062
1940,81.42951965332031
1941,85.4076919555664
1942,75.15155792236328
1943,82.0127944946289
1944,83.38400268554688
1945,80.88636779785156
1946,78.0728759765625
1947,82.81889343261719
1948,84.62101745605469
1949,67.73072814941406
1950,84.40021514892578
1951,85.32841491699219
1952,89.35520935058594
1953,88.07591247558594
1954,76.74537658691406
1955,81.57222747802734
1956,94.15968322753906
1957,85.74263000488281
1958,88.54712677001953
1959,82.30548095703125
1960,77.05575561523438
1961,101.44117736816406
1962,101.58363342285156
1963,90.72467803955078
1964,71.63532257080078
1965,74.38322448730469
1966,76.08792877197266
1967,87.62905883789062
1968,82.5999984741211
1969,96.15416717529297
1970,78.3319091796875
1971,79.60107421875
1972,71.35359954833984
1973,71.80177307128906
1974,94.07072448730469
1975,77.99190521240234
1976,89.66688537597656
1977,85.96500396728516
1978,101.34175109863281
1979,89.82876586914062
1980,80.46588897705078
1981,73.96389770507812
1982,77.62693786621094
1983,72.3821792602539
1984,79.02424621582031
1985,78.63306427001953
1986,86.01798248291016
1987,66.30620574951172
1988,77.97879028320312
1989,88.42408752441406
1990,73.04088592529297
1991,79.0074234008789
1992,64.45838928222656
1993,79.4241943359375
1994,64.09553527832031
1995,69.10688781738281
1996,76.96720886230469
1997,85.7827377319336
1998,87.41577911376953
1999,91.85489654541016
2000,83.92344665527344
2001,87.73472595214844
2002,82.97102355957031
2003,84.8063735961914
2004,94.68803405761719
2005,75.9034423828125
2006,83.2989273071289
2007,85.94747161865234
2008,83.75999450683594
2009,83.9555892944336
