year,data
1901,21.574623107910156
1902,21.75373649597168
1903,21.88599395751953
1904,21.323898315429688
1905,21.760671615600586
1906,21.420053482055664
1907,21.278091430664062
1908,21.640108108520508
1909,21.48349380493164
1910,21.31459617614746
1911,21.3369083404541
1912,21.733386993408203
1913,21.787446975708008
1914,21.981962203979492
1915,21.79916763305664
1916,21.77139663696289
1917,21.768146514892578
1918,21.112552642822266
1919,21.292930603027344
1920,21.76185417175293
1921,21.65494728088379
1922,22.085216522216797
1923,21.73881721496582
1924,21.582902908325195
1925,21.330322265625
1926,21.558467864990234
1927,21.390079498291016
1928,21.849166870117188
1929,21.750511169433594
1930,21.50061798095703
1931,22.01180076599121
1932,21.61685562133789
1933,21.62421989440918
1934,21.74835968017578
1935,21.549327850341797
1936,21.399192810058594
1937,21.114999771118164
1938,21.739112854003906
1939,21.446855545043945
1940,21.814380645751953
1941,22.012069702148438
1942,22.112796783447266
1943,21.791183471679688
1944,21.839570999145508
1945,21.64577865600586
1946,21.7194881439209
1947,21.630456924438477
1948,21.474462509155273
1949,22.227985382080078
1950,21.48368263244629
1951,21.391155242919922
1952,21.758953094482422
1953,21.4531192779541
1954,21.44790267944336
1955,21.443897247314453
1956,21.057661056518555
1957,21.67782211303711
1958,21.6168270111084
1959,21.75231170654297
1960,21.585376739501953
1961,21.49107551574707
1962,21.208145141601562
1963,21.00954246520996
1964,21.250591278076172
1965,21.106586456298828
1966,21.69123649597168
1967,21.36975860595703
1968,21.42483901977539
1969,21.69803810119629
1970,21.8154296875
1971,21.39881706237793
1972,21.576505661010742
1973,21.71145248413086
1974,21.076961517333984
1975,21.397123336791992
1976,21.100242614746094
1977,21.90104866027832
1978,21.458656311035156
1979,21.562580108642578
1980,21.49470329284668
1981,21.50884437561035
1982,21.77768898010254
1983,22.425968170166016
1984,21.90835952758789
1985,21.83034896850586
1986,21.505054473876953
1987,22.562768936157227
1988,22.068737030029297
1989,21.697956085205078
1990,22.237472534179688
1991,21.803817749023438
1992,22.40483856201172
1993,21.93166732788086
1994,22.345563888549805
1995,22.704355239868164
1996,22.4458065032959
1997,22.6734676361084
1998,22.68362808227539
1999,21.987552642822266
2000,21.981746673583984
2001,22.31779670715332
2002,22.627527236938477
2003,22.661235809326172
2004,22.16379165649414
2005,23.31685447692871
2006,21.80373764038086
2007,21.863601684570312
2008,21.86534881591797
2009,22.40849494934082
