LegLength	ArmLength	ArmCirc
32.6	32.4	30.2
37.3	35.3	35
42.3	37	23.6
47.4	37.6	34
41.2	39	29.9
44	39.7	33.5
36.8	37	28.6
35.5	34.6	32.7
43	41	37.1
36.2	36.5	28.5
39	37	45.6
41.4	38.5	43.8
39.2	35.4	24.9
38.1	36.3	33.2
40	41	28.8
35.5	35.5	26.3
39	37.5	25.5
36.6	35.7	23.2
31	33.8	27.8
34.2	36.2	29
36.8	35.2	31
43	40.5	32.2
26.5	32	29.3
41.7	38.6	27.4
35.1	37.7	33
38	41	39.6
36.4	34.6	45.9
36.3	34.9	27.7
43.1	38.5	31.2
45	39.9	38.2
39.8	33.4	34
26.5	35	36.5
34.6	39.2	42.5
39.4	41	35.9
NaN	40.9	46.7
34.7	37	27.3
39	38.9	29.2
32	35.8	33.4
44	43.8	43.8
34	38	34.1
37.6	38	33.3
36	37.4	30
42.4	40	28.3
38.2	33.2	26.6
36.1	35.9	32.5
44.5	40.5	38.3
33	40	31.2
32.1	39.6	43.7
37	35	33.9
42	36.6	35
41	38.5	32.9
31.4	35	25.4
35.3	31.8	34.1
35.6	40	40.5
34.5	34.2	29.5
38.5	33.9	27
39.3	35.4	28
42.6	43	42.3
36.3	34	31
35.6	36	39
39.2	37.7	31.8
31.6	37.7	34.1
38.3	38.5	38
35.7	34.2	25.7
46.3	41	32.3
34.8	36	32.1
33.3	37	43.6
44.1	35	34
37	34.6	31.3
41.5	40.6	38.7
42	39	33.1
31.7	36	41.4
39.8	34.9	33
39.8	37.3	27
43.8	43.4	34.3
37.7	38	38.2
36.8	36.2	30.7
37.5	36.3	33.7
35.7	41.2	39.4
33.3	34	24.9
40.2	39	36.5
49.2	44.5	41
41.5	39.9	34.6
33	37	34.5
34.2	36.5	30.9
40	38	32.1
38.9	37	30.2
35.9	34.6	29
42	36	30.3
41.7	41.5	40.8
39.7	33.6	25
37	36.4	31.5
36.1	38	32.9
45	40.3	34.2
44.2	40.6	30
43.2	35.9	25.4
46.9	42.3	38.3
44.3	43.2	33.5
38	39.4	27.6
39.3	37.5	28
36.2	38.5	35.1
43	39.6	39.9
37.8	37	34.7
42	43	43.8
39.6	37.5	29.5
42.8	41.3	38.8
35.2	41.5	45.2
43.5	39.3	32
45.2	40	32.5
41.8	38.5	35
30	33.5	38
37.1	34	24.1
44	40.6	35.2
34	34	39.2
43.7	38.5	27.9
33.1	32	28.7
34.4	36.8	27.9
30.5	35	41.8
40.7	39.5	30.6
45.7	39.7	31.9
43.8	39	42.8
23.2	34.5	30.1
39	37.2	26.4
35	37.5	32.1
39.4	39.5	33.7
41.7	41.3	34.3
42.2	40.2	34.8
NaN	40.5	32
37	36.5	41.2
34.5	35.1	27.3
35.1	36.3	28.5
33.8	32.7	27.5
35.3	35.8	29.6
34.4	33	31.8
35	38.5	35.2
40.2	38.2	26.5
35.3	34.5	27
35.3	35.4	36.9
38.8	39.6	41.3
42.5	40.6	32.5
45.6	43.2	32.3
34.8	35.5	30.3
38.4	42.5	34.4
40.3	41	35.8
37.8	37	29.6
37.7	35.4	25.1
38.9	36.5	28.1
39.2	36	27.4
42.3	42	33.2
36.7	39.5	40.1
34.9	37.4	34.9
43.1	39.5	22.9
37.4	33.2	24.7
40.7	42.6	32.6
46.8	42.4	31.1
43.5	36.4	27.4
38.2	39.2	31
39.5	35	28.5
42.4	40	31.7
36.8	38	33
43.3	40.5	28.9
41.5	38.8	42.9
29.9	36.5	33.9
43.9	38.3	29.1
40.5	36	31.9
34	36.8	32.6
41.5	39.2	31.5
39.4	37.3	30.2
40.1	39	37.9
41.6	39.4	33.9
36.1	39	34.4
40.5	36.4	35
36	37	39
42.1	40.2	37.8
42.8	41	30.2
37	34	25.4
37.4	39	32.5
36.9	37	38
37.6	34	25
28.8	32.5	35.4
36.9	37.3	33.5
37.5	36.9	31.3
39	NaN	56
39.3	36.9	31.1
38.2	35.5	25.3
29.7	34	34
39	41.8	36.2
30.4	36	30.4
41.3	38.3	36.5
35.5	31.3	28.9
41.2	38.5	30
39	37	33.5
39.5	38.5	29.7
35	35.7	37.2
40.7	37	36.5
42.5	40.3	35.5
34.5	41.2	31.8
42.6	39.1	36.3
34.3	35.4	30.5
38.2	37.1	30.7
32.3	38.6	42.2
34	35	22.7
37.3	34.6	27.7
44.7	40.7	46.7
44	40.6	23.7
42.6	39	39.2
35.5	35.9	33.5
36.4	34	32.9
41.9	39	28.6
36	33.5	24.7
36.5	37.5	27.4
38.3	35.5	36.5
NaN	41	43.6
36.5	37.5	33.5
36.5	33.3	30.5
38.5	38	35.2
36.2	36.6	32.4
40.8	40.4	34
42.5	37.4	26.5
35	36	36.6
37.2	38.4	30.5
37.5	35.7	31
34.8	37	33.5
36.2	37	34.9
44.6	40.4	29.9
37.5	33.3	25.3
45.6	39	39.2
39	42	36.8
40	34	30
34.3	34	28.5
39.7	42.6	37.9
38	35	24.7
36.7	39.9	34.7
40	39	34.7
39.2	38.6	43.2
41.9	36.4	24.7
37.8	36	28.7
40.1	36	29.5
NaN	31	23.3
41.5	39.8	32.9
32.7	34.7	29.4
47.1	39	36.1
40	39.5	32.6
47.8	41.3	36.8
34.3	34.3	25.5
39	40	31.8
37.4	35.4	31.2
