"Color","Speed","State"
"Blue",32,"NewMexico"
"Red",45,"Arizona"
"Blue",-9999,"Colorado"
"White",34,"Arizona"
"Red",25,"Arizona"
"Blue",41,"Arizona"
"Blue",34,"NewMexico"
"Black",29,"Colorado"
"White",31,"Arizona"
"Red",26,"Colorado"
"Red",43,"Utah"
"White",26,"Utah"
"Blue",45,"Utah"
"Blue",49,"Utah"
"Black",33,"Utah"
"Red",53,"NewMexico"
"Blue",27,"Arizona"
"Blue",29,"NewMexico"
"White",27,"Arizona"
"Blue",42,"Utah"
"Blue",37,"Utah"
"Blue",42,"Utah"
"Red",48,"NewMexico"
"Blue",26,"Colorado"
"Red",40,"Colorado"
"Red",43,"NewMexico"
"Red",43,"Colorado"
"Red",25,"Utah"
"White",51,"Colorado"
"Blue",48,"Utah"
"Red",54,"NewMexico"
"White",36,"Colorado"
"Black",37,"Colorado"
"Red",38,"Utah"
"Black",33,"Colorado"
"Black",51,"Colorado"
"Blue",28,"NewMexico"
"Red",34,"Arizona"
"Black",54,"Utah"
"Red",47,"Colorado"
"Black",48,"Colorado"
"Black",53,"NewMexico"
"Red",32,"Arizona"
"Red",46,"Utah"
"White",34,"Arizona"
"Black",46,"Colorado"
"Blue",34,"NewMexico"
"Red",43,"NewMexico"
"Red",34,"NewMexico"
"Black",33,"Colorado"
"Black",43,"Arizona"
"Red",41,"Utah"
"White",42,"Utah"
"Red",45,"Arizona"
"Blue",52,"NewMexico"
"Blue",39,"Colorado"
"Black",29,"Utah"
"Blue",27,"Colorado"
"White",30,"Utah"
"Black",31,"Utah"
"Red",29,"Utah"
"Blue",27,"Colorado"
"Blue",50,"NewMexico"
"White",53,"Colorado"
"Black",50,"NewMexico"
"Red",46,"Colorado"
"Red",26,"NewMexico"
"Black",32,"Arizona"
"Blue",54,"NewMexico"
"White",36,"Utah"
"Blue",48,"Utah"
"Red",29,"Colorado"
"White",44,"Arizona"
"White",38,"Utah"
"Blue",49,"Colorado"
"Blue",52,"Colorado"
"Blue",36,"Colorado"
"Blue",45,"Arizona"
"Blue",34,"NewMexico"
"White",31,"Arizona"
"Black",44,"Utah"
"Blue",32,"Colorado"
"White",53,"Colorado"
"Black",34,"Arizona"
"Black",25,"Arizona"
"Red",41,"Arizona"
"Red",43,"Utah"
"White",41,"Arizona"
"White",40,"Utah"
"White",52,"Utah"
"White",44,"Utah"
"Red",34,"Arizona"
"Red",41,"Arizona"
"Red",31,"NewMexico"
"White",25,"Colorado"
"Black",46,"Colorado"
"White",34,"Utah"
"Black",25,"NewMexico"
"Black",32,"Arizona"
"White",42,"Utah"
