# width height
125 100
# block size
4
# initial color
0 0 0
# row column red green blue
0 0 121 109 84 
0 1 122 115 99 
0 2 117 110 96 
0 3 119 111 95 
0 4 89 86 79 
0 5 73 78 84 
0 6 68 72 80 
0 7 46 53 72 
0 8 47 56 78 
0 9 51 64 89 
0 10 51 63 90 
0 11 54 63 83 
0 12 107 114 118 
0 13 91 106 122 
0 14 94 107 123 
0 15 107 120 132 
0 16 93 111 128 
0 17 89 99 110 
0 18 100 104 108 
0 19 115 113 103 
0 20 126 123 110 
0 21 103 102 100 
0 22 75 78 90 
0 23 85 87 91 
0 24 85 86 89 
0 25 135 130 110 
0 26 131 127 109 
0 27 116 116 109 
0 28 114 112 106 
0 29 125 122 111 
0 30 128 123 112 
0 31 140 135 119 
0 32 117 115 108 
0 33 123 116 105 
0 34 146 137 116 
0 35 139 130 111 
0 36 138 130 108 
0 37 114 111 102 
0 38 111 108 102 
0 39 128 123 110 
0 40 148 141 123 
0 41 142 135 119 
0 42 139 135 122 
0 43 153 143 120 
0 44 149 141 126 
0 45 154 146 127 
0 46 144 135 116 
0 47 132 123 110 
0 48 141 137 127 
0 49 148 140 121 
0 50 152 144 122 
0 51 136 135 123 
0 52 130 127 116 
0 53 147 139 120 
0 54 161 148 123 
0 55 146 137 117 
0 56 132 130 117 
0 57 159 149 120 
0 58 161 148 122 
0 59 164 150 121 
0 60 159 146 112 
0 61 154 141 114 
0 62 147 137 115 
0 63 159 145 114 
0 64 157 144 115 
0 65 152 141 117 
0 66 139 135 124 
0 67 160 149 120 
0 68 159 151 122 
0 69 154 144 117 
0 70 148 135 108 
0 71 142 128 97 
0 72 137 124 94 
0 73 131 119 90 
0 74 140 126 93 
0 75 143 128 93 
0 76 149 138 108 
0 77 144 134 105 
0 78 144 134 107 
0 79 148 136 106 
0 80 144 133 106 
0 81 149 139 111 
0 82 154 143 112 
0 83 154 143 115 
0 84 149 139 115 
0 85 148 139 118 
0 86 144 137 114 
0 87 148 140 115 
0 88 149 139 115 
0 89 142 134 113 
0 90 139 132 119 
0 91 144 134 115 
0 92 137 128 111 
0 93 145 137 113 
0 94 158 147 116 
0 95 153 146 122 
0 96 147 140 116 
0 97 157 148 119 
0 98 159 148 119 
0 99 151 140 112 
0 100 160 151 120 
0 101 149 138 111 
0 102 158 146 113 
0 103 151 141 109 
0 104 142 135 110 
0 105 160 152 124 
0 106 150 146 124 
0 107 147 143 120 
0 108 149 141 114 
0 109 135 130 111 
0 110 137 131 112 
0 111 141 139 120 
0 112 144 142 123 
0 113 130 127 110 
0 114 125 120 103 
0 115 140 131 110 
0 116 134 126 107 
0 117 132 120 100 
0 118 135 129 108 
0 119 133 131 110 
0 120 133 125 103 
0 121 146 136 108 
0 122 146 134 103 
0 123 153 139 106 
0 124 143 127 93 
1 0 50 48 57 
1 1 29 34 70 
1 2 33 37 62 
1 3 55 59 74 
1 4 64 71 82 
1 5 41 55 79 
1 6 61 74 93 
1 7 37 51 82 
1 8 24 38 76 
1 9 76 85 101 
1 10 73 89 115 
1 11 79 101 102 
1 12 115 134 114 
1 13 97 117 141 
1 14 71 99 126 
1 15 92 116 121 
1 16 63 80 101 
1 17 46 62 90 
1 18 65 84 105 
1 19 35 38 61 
1 20 42 44 66 
1 21 71 81 102 
1 22 51 63 92 
1 23 48 57 86 
1 24 42 53 84 
1 25 64 70 92 
1 26 75 83 101 
1 27 74 97 119 
1 28 66 92 118 
1 29 55 72 97 
1 30 50 65 84 
1 31 51 69 90 
1 32 36 52 86 
1 33 37 54 89 
