"","catch","year","country"
"1",30100,1950,"AUS"
"2",33800,1951,"AUS"
"3",42400,1952,"AUS"
"4",48400,1953,"AUS"
"5",49200,1954,"AUS"
"6",47800,1955,"AUS"
"7",45900,1956,"AUS"
"8",50500,1957,"AUS"
"9",49500,1958,"AUS"
"10",53000,1959,"AUS"
"11",55300,1960,"AUS"
"12",56000,1961,"AUS"
"13",61500,1962,"AUS"
"14",65900,1963,"AUS"
"15",68800,1964,"AUS"
"16",77600,1965,"AUS"
"17",89000,1966,"AUS"
"18",91800,1967,"AUS"
"19",100900,1968,"AUS"
"20",91300,1969,"AUS"
"21",98400,1970,"AUS"
"22",105800,1971,"AUS"
"23",113800,1972,"AUS"
"24",122600,1973,"AUS"
"25",129429,1974,"AUS"
"26",104288,1975,"AUS"
"27",105499,1976,"AUS"
"28",133742,1977,"AUS"
"29",130043,1978,"AUS"
"30",137953,1979,"AUS"
"31",138883,1980,"AUS"
"32",153768,1981,"AUS"
"33",172100,1982,"AUS"
"34",170387,1983,"AUS"
"35",179646,1984,"AUS"
"36",165197,1985,"AUS"
"37",184343,1986,"AUS"
"38",213210,1987,"AUS"
"39",219725,1988,"AUS"
"40",196000,1989,"AUS"
"41",231568,1990,"AUS"
"42",241448,1991,"AUS"
"43",248933,1992,"AUS"
"44",247028,1993,"AUS"
"45",220229,1994,"AUS"
"46",227481,1995,"AUS"
"47",219221,1996,"AUS"
"48",218133,1997,"AUS"
"49",224557.44,1998,"AUS"
"50",232069,1999,"AUS"
"51",204248,2000,"AUS"
"52",205109,2001,"AUS"
"53",207320,2002,"AUS"
"54",224342.23,2003,"AUS"
"55",243450.05,2004,"AUS"
"56",250853.28,2005,"AUS"
"57",212812,2006,"AUS"
"58",190499.3,2007,"AUS"
"59",183900.3,2008,"AUS"
"60",174924.39,2009,"AUS"
"61",2000,1950,"LBR"
"62",2000,1951,"LBR"
"63",2500,1952,"LBR"
"64",2500,1953,"LBR"
"65",2700,1954,"LBR"
"66",3000,1955,"LBR"
"67",3000,1956,"LBR"
"68",3200,1957,"LBR"
"69",3300,1958,"LBR"
"70",3700,1959,"LBR"
"71",4200,1960,"LBR"
"72",3700,1961,"LBR"
"73",4000,1962,"LBR"
"74",4000,1963,"LBR"
"75",4000,1964,"LBR"
"76",4500,1965,"LBR"
"77",5000,1966,"LBR"
"78",6000,1967,"LBR"
"79",6000,1968,"LBR"
"80",7000,1969,"LBR"
"81",8000,1970,"LBR"
"82",8200,1971,"LBR"
"83",8900,1972,"LBR"
"84",9300,1973,"LBR"
"85",10064,1974,"LBR"
"86",10046,1975,"LBR"
"87",10132,1976,"LBR"
"88",10190,1977,"LBR"
"89",10812,1978,"LBR"
"90",13484,1979,"LBR"
"91",11791,1980,"LBR"
"92",13004,1981,"LBR"
"93",13553,1982,"LBR"
"94",15277,1983,"LBR"
"95",14650,1984,"LBR"
"96",11478,1985,"LBR"
"97",16053,1986,"LBR"
"98",18731,1987,"LBR"
"99",16074,1988,"LBR"
"100",14802,1989,"LBR"
"101",6463,1990,"LBR"
"102",9620,1991,"LBR"
"103",8891,1992,"LBR"
"104",7782,1993,"LBR"
"105",7721,1994,"LBR"
"106",8829,1995,"LBR"
"107",8308,1996,"LBR"
"108",8491,1997,"LBR"
"109",10697,1998,"LBR"
"110",14682,1999,"LBR"
"111",11518,2000,"LBR"
"112",10496,2001,"LBR"
"113",11042,2002,"LBR"
"114",10464,2003,"LBR"
"115",13725,2004,"LBR"
"116",12147,2005,"LBR"
"117",8894,2006,"LBR"
"118",14488,2007,"LBR"
"119",7890,2008,"LBR"
"120",8000,2009,"LBR"
"121",187395,1950,"ITA"
"122",186727,1951,"ITA"
"123",216439,1952,"ITA"
"124",209729,1953,"ITA"
"125",218974,1954,"ITA"
"126",219648,1955,"ITA"
"127",220962,1956,"ITA"
"128",211736,1957,"ITA"
"129",211857,1958,"ITA"
"130",214501,1959,"ITA"
"131",213960,1960,"ITA"
"132",240430,1961,"ITA"
"133",217082,1962,"ITA"
"134",226952,1963,"ITA"
"135",317196,1964,"ITA"
"136",344541,1965,"ITA"
"137",358591,1966,"ITA"
"138",358836,1967,"ITA"
"139",346140,1968,"ITA"
"140",349879,1969,"ITA"
"141",389117,1970,"ITA"
"142",390997,1971,"ITA"
"143",407839,1972,"ITA"
"144",395315,1973,"ITA"
"145",426700,1974,"ITA"
"146",399103,1975,"ITA"
"147",414847,1976,"ITA"
"148",363244,1977,"ITA"
"149",387021.4,1978,"ITA"
"150",412114.4,1979,"ITA"
"151",430265.5,1980,"ITA"
"152",430152.09,1981,"ITA"
"153",449270.66,1982,"ITA"
"154",454107.48,1983,"ITA"
"155",484030.73,1984,"ITA"
"156",482302.23,1985,"ITA"
"157",457232.43,1986,"ITA"
